# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11  of event 'cpu_core/mem-loads-aux/'
# Total weight : 11
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     1.50%             1  36            LFB/MAB hit                              [k] ktime_get                         [kernel.kallsyms]        [k] tk_core+0x0                            [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        68                   0                   
     1.16%             1  28            L1 hit                                   [k] ct_kernel_exit_state              [kernel.kallsyms]        [k] 0xffff8c3f0f330ba8                     [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        37                   0                   
     0.54%             1  13            LFB/MAB hit                              [k] psi_group_change                  [kernel.kallsyms]        [k] 0xffff8c3bd1876280                     [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       217                  0                   
     0.21%             1  5             L1 hit                                   [k] __flush_work                      [kernel.kallsyms]        [k] 0xffff8c3bd22b0a08                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        65                   0                   
     0.21%             1  5             L1 hit                                   [k] __update_load_avg_se              [kernel.kallsyms]        [k] 0xffffd3a8401abcf0                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        104                  0                   
     0.21%             1  5             L1 hit                                   [k] cgroup_rstat_updated              [kernel.kallsyms]        [k] 0xffff8c3c0a49cbd8                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        124                  0                   
     0.21%             1  5             L1 hit                                   [k] ct_kernel_enter.isra.0            [kernel.kallsyms]        [k] 0xffffd3a84d42fba8                     [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       34                   0                   
     0.21%             1  5             L1 hit                                   [k] fdget                             [kernel.kallsyms]        [k] 0xffff8c3bc1aa7460                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        103                  0                   
     0.21%             1  5             L1 hit                                   [k] fdget                             [kernel.kallsyms]        [k] 0xffffd3a84d42f8e0                     [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       64                   0                   
     0.21%             1  5             L1 hit                                   [k] fdget                             [kernel.kallsyms]        [k] 0xffffd3a84d42fe30                     [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       37                   0                   
