# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9  of event 'cpu_core/mem-loads-aux/'
# Total weight : 9
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                         Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .............................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    77.78%             7  0             N/A                                      [k] native_write_msr           [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    11.11%             1  0             N/A                                      [k] ip_rcv_finish_core.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    11.11%             1  0             N/A                                      [k] nft_do_chain               [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 86  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 4519
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                 Shared Object            Data Symbol                                          Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .....................................  .......................  ...................................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     1.53%             1  69            LFB/MAB hit                              [.] 0x000000000005db7d                 libglib-2.0.so.0.8400.4  [.] 0x00007f10c55f7f44                               anon                     None          L1 or L2 hit            No       N/A        101                  0                   
     1.48%             1  67            L3 hit                                   [k] __update_load_avg_se               [kernel.kallsyms]        [k] runnable_avg_yN_inv+0xc                          [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        76                   0                   
     1.48%             1  67            L3 hit                                   [k] tcp_poll                           [kernel.kallsyms]        [k] 0xffff8c3c2e2ce5b0                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        69                   0                   
     1.46%             1  66            L3 hit                                   [.] g_private_get                      libglib-2.0.so.0.8400.4  [.] 0x00007f115cf3c460                               libglib-2.0.so.0.8400.4  None          L1 or L2 hit            No       N/A        68                   0                   
     1.46%             1  66            L3 hit                                   [k] switch_mm_irqs_off                 [kernel.kallsyms]        [k] phys_base+0x0                                    [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        68                   0                   
     1.42%             1  64            L3 hit                                   [k] __alloc_pages_noprof               [kernel.kallsyms]        [k] 0xffff8c3f1f7d7488                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        73                   0                   
     1.28%             1  58            LFB/MAB hit                              [k] __alloc_pages_noprof               [kernel.kallsyms]        [k] 0xffff8c3f1f7d7480                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        75                   0                   
     1.28%             1  58            L3 hit                                   [k] vmx_vcpu_load                      [kernel.kallsyms]        [k] ple_window+0x0                                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        67                   0                   
     1.26%             1  57            L3 hit                                   [.] 0x000000000005d8e5                 libglib-2.0.so.0.8400.4  [.] 0x000055eb465ee580                               [heap]                   None          L1 or L2 hit            No       N/A        66                   0                   
     1.24%             1  56            LFB/MAB hit                              [.] 0x000000000005d8e0                 libglib-2.0.so.0.8400.4  [.] 0x000055eb46687f50                               [heap]                   None          L1 or L2 hit            No       N/A        59                   0                   
     1.22%             1  55            LFB/MAB hit                              [.] 0x00000000006cf477                 qemu-system-x86_64       [.] 0x000055eb47454b98                               [heap]                   None          L1 or L2 hit            No       N/A        57                   0                   
     1.19%             1  54            L3 hit                                   [k] account_guest_time                 [kernel.kallsyms]        [k] 0xffff8c3f0f321520                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        56                   0                   
     1.17%             1  53            L3 hit                                   [k] psi_task_change                    [kernel.kallsyms]        [k] 0xffff8c3c0a49c900                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        186                  0                   
     1.15%             1  52            LFB/MAB hit                              [.] qemu_mutex_lock_impl               qemu-system-x86_64       [.] 0x000055eb46687bd0                               [heap]                   None          L1 or L2 hit            No       N/A        54                   0                   
     1.15%             1  52            L3 hit                                   [k] ct_kernel_enter.isra.0             [kernel.kallsyms]        [k] 0xffff8c3f0f335040                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        63                   0                   
     1.13%             1  51            LFB/MAB hit                              [k] irq_enter_rcu                      [kernel.kallsyms]        [k] tick_nohz_full_running+0x0                       [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        53                   0                   
     1.13%             1  51            LFB/MAB hit                              [.] qemu_set_irq                       qemu-system-x86_64       [.] 0x000055eb471f25f8                               [heap]                   None          L1 or L2 hit            No       N/A        67                   0                   
     1.13%             1  51            L3 hit                                   [.] g_private_get                      libglib-2.0.so.0.8400.4  [.] 0x00007f115cf3c460                               libglib-2.0.so.0.8400.4  None          L1 or L2 hit            No       N/A        53                   0                   
     1.08%             1  49            L3 hit                                   [.] g_main_context_dispatch@plt        qemu-system-x86_64       [.] 0x000055eb1170ee88                               qemu-system-x86_64       None          L1 or L2 hit            No       N/A        52                   0                   
     1.06%             1  48            L3 hit                                   [.] 0x000000000005db99                 libglib-2.0.so.0.8400.4  [.] 0x00007f10c40bb3a0                               anon                     None          L1 or L2 hit            No       N/A        51                   0                   
     1.04%             1  47            LFB/MAB hit                              [k] ct_kernel_enter.isra.0             [kernel.kallsyms]        [k] 0xffff8c3f0f330bb8                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        51                   0                   
     1.04%             1  47            L3 hit                                   [.] object_dynamic_cast_assert         qemu-system-x86_64       [.] 0x000055eb466887b0                               [heap]                   None          L1 or L2 hit            No       N/A        49                   0                   
     1.04%             1  47            L3 hit                                   [.] slirp_pollfds_poll                 libslirp.so.0.4.0        [.] 0x000055eb47a2f6c0                               [heap]                   None          L1 or L2 hit            No       N/A        56                   0                   
     1.00%             1  45            LFB/MAB hit                              [.] 0x000000000005db7d                 libglib-2.0.so.0.8400.4  [.] 0x00007f10c55f7f44                               anon                     None          L1 or L2 hit            No       N/A        61                   0                   
     1.00%             1  45            L3 hit                                   [.] slirp_pollfds_poll                 libslirp.so.0.4.0        [.] 0x000055eb47a2f6a0                               [heap]                   None          L1 or L2 hit            No       N/A        61                   0                   
     0.97%             1  44            LFB/MAB hit                              [k] pic_get_irq                        [kernel.kallsyms]        [k] 0xffff8c3bc1898a19                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        47                   0                   
     0.89%             1  40            LFB/MAB hit                              [.] timerlistgroup_deadline_ns         qemu-system-x86_64       [.] 0x000055eb1182655c                               anon                     None          L1 or L2 hit            No       N/A        43                   0                   
     0.75%             1  34            L2 hit                                   [.] __vdso_clock_gettime               [vdso]                   [.] 0x00007f115df6d0c0                               [vvar]                   None          L1 or L2 hit            No       N/A        36                   0                   
     0.66%             1  30            LFB/MAB hit                              [k] remove_wait_queue                  [kernel.kallsyms]        [k] 0xffff8c3e405a20c0                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        32                   0                   
     0.58%             1  26            LFB/MAB hit                              [k] kvm_lapic_find_highest_irr         [kernel.kallsyms]        [k] 0xffff8c3c39154230                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        35                   0                   
     0.58%             1  26            LFB/MAB hit                              [k] ldsem_down_read                    [kernel.kallsyms]        [k] 0xffff8c3c0532f030                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        35                   0                   
     0.11%             1  5             L1 hit                                   [k] __calc_delta.constprop.0           [kernel.kallsyms]        [k] 0xffffd3a84007ee18                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        273                  0                   
     0.11%             1  5             L1 hit                                   [k] __switch_to                        [kernel.kallsyms]        [k] 0xffff8c3cc7d74d40                               [kernel.kallsyms]        None          L1 or L2 hit            No       Data       58                   0                   
     0.11%             1  5             L1 hit                                   [k] __switch_to                        [kernel.kallsyms]        [k] 0xffff8c3cc7d74d41                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        42                   0                   
