# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10  of event 'cpu_core/mem-loads-aux/'
# Total weight : 10
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    60.00%             6  0             N/A                                      [k] native_write_msr                       [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    20.00%             2  0             N/A                                      [k] ct_kernel_enter.isra.0                 [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    10.00%             1  0             N/A                                      [k] __flush_work                           [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    10.00%             1  0             N/A                                      [k] skip_emulated_instruction              [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 53  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 3810
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                             Shared Object            Data Symbol                                    Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .................................  .......................  .............................................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     8.48%             1  323           RAM hit                                  [k] n_tty_poll                     [kernel.kallsyms]        [k] 0xffff8c3c0532f240                         [kernel.kallsyms]  Hit           L1 or L2 hit            No       N/A        325                  0                   
     6.17%             1  235           LFB/MAB hit                              [k] _raw_spin_lock                 [kernel.kallsyms]        [k] 0xffff8c3bc1898a00                         [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        244                  0                   
     6.17%             1  235           LFB/MAB hit                              [.] 0x000000000005db7d             libglib-2.0.so.0.8400.4  [.] 0x000055eb46686524                         [heap]             None          L1 or L2 hit            No       N/A        238                  0                   
     6.17%             1  235           RAM hit                                  [.] 0x000000000082ce0a             qemu-system-x86_64       [.] 0x000055eb471f3e40                         [heap]             Hit           L1 or L2 hit            No       N/A        237                  0                   
     5.54%             1  211           LFB/MAB hit                              [k] __switch_to                    [kernel.kallsyms]        [k] 0xffff8c3d4f3f62d4                         [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        220                  0                   
     5.25%             1  200           LFB/MAB hit                              [k] __schedule                     [kernel.kallsyms]        [k] 0xffff8c3d4f3f55d0                         [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        202                  0                   
     4.99%             1  190           LFB/MAB hit                              [k] update_load_avg                [kernel.kallsyms]        [k] 0xffff8c3bcde73a80                         [kernel.kallsyms]  None          L2 miss                 Yes      N/A        295                  0                   
     4.88%             1  186           RAM hit                                  [.] ioctl                          libc.so.6                [.] 0x00007f1153fff6e8                         anon               Hit           L2 miss                 No       N/A        513                  0                   
     4.72%             1  180           L3 hit                                   [k] copy_to_user_nofault           [kernel.kallsyms]        [k] 0xffffffffc2126610                         [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        189                  0                   
