# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8  of event 'cpu_core/mem-loads-aux/'
# Total weight : 8
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    87.50%             7  0             N/A                                      [k] native_write_msr                       [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    12.50%             1  0             N/A                                      [k] skip_emulated_instruction              [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 40  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 2745
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                                 Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  ..........................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
    13.11%             1  360           RAM hit                                  [.] timerlist_deadline_ns                  qemu-system-x86_64       [.] 0x000055eb46683358                      [heap]                   Hit           L1 or L2 hit            No       N/A        362                  0                   
     8.93%             1  245           RAM hit                                  [k] arch_exit_to_user_mode_prepare.isra.0  [kernel.kallsyms]        [k] 0xffff8c3d4f3f61c0                      [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        247                  0                   
     7.40%             1  203           L3 hit                                   [k] ktime_get                              [kernel.kallsyms]        [k] tk_core+0x8                             [kernel.kallsyms]        HitM          L1 or L2 hit            No       N/A        205                  0                   
     6.89%             1  189           RAM hit                                  [.] qemu_main_loop                         qemu-system-x86_64       [.] 0x000055eb11814e90                      anon                     Hit           L1 or L2 hit            No       N/A        191                  0                   
