# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47  of event 'cpu_core/mem-loads-aux/'
# Total weight : 47
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object       Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  ..................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.23%             1  5             L1 hit                                   [k] __flush_work                           [kernel.kallsyms]        [k] 0xffffd3a84d42f880  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __flush_work                           [kernel.kallsyms]        [k] 0xffffd3a84d42f8d0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __get_next_timer_interrupt             [kernel.kallsyms]        [k] 0xffffd3a8401abde8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __get_next_timer_interrupt             [kernel.kallsyms]        [k] 0xffffd3a8401abe00  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __hrtimer_next_event_base              [kernel.kallsyms]        [k] 0xffffd3a8401abe40  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __remove_hrtimer                       [kernel.kallsyms]        [k] 0xffffd3a8401abce0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __remove_hrtimer                       [kernel.kallsyms]        [k] 0xffffd3a84d42f870  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __rseq_handle_notify_resume            [kernel.kallsyms]        [k] 0xffffd3a84d42fdb8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __schedule                             [kernel.kallsyms]        [k] 0xffff8c3d4f3f55e0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __schedule                             [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __schedule                             [kernel.kallsyms]        [k] 0xffff8c3f0f336940  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __schedule                             [kernel.kallsyms]        [k] 0xffff8c3f0f336970  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __schedule                             [kernel.kallsyms]        [k] 0xffff8c3f0f3369b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __schedule                             [kernel.kallsyms]        [k] 0xffffd3a8401abec8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __schedule                             [kernel.kallsyms]        [k] 0xffffd3a84d42f708  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __schedule                             [kernel.kallsyms]        [k] 0xffffd3a84d42f800  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __schedule                             [kernel.kallsyms]        [k] 0xffffd3a84d42f810  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __srcu_read_unlock                     [kernel.kallsyms]        [k] 0xfffff3a83f30be90  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __switch_to                            [kernel.kallsyms]        [k] 0xffff8c3bc0dee266  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __switch_to                            [kernel.kallsyms]        [k] 0xffff8c3f0f335040  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __switch_to                            [kernel.kallsyms]        [k] 0xffffd3a8401abe50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3bc401a288  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3bc401a2b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3bc790d480  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3bd4ee8a80  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3f0f335fd0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3f0f335fdc  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffffd3a8401abcc4  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffffd3a8401abd90  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bc401a4c0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bc790f0c0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bc790f0c8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bc790f0d0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bfbe2fae8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffffd3a8401abcbc  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffffd3a8401abce8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffffd3a8401abcf0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffffd3a8401abd50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffffd3a84d42f6b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] __vdso_clock_gettime                   [vdso]                   [.] 0x00007ffef8c05ca0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] __vdso_clock_gettime                   [vdso]                   [.] 0x00007ffef8c05cd8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] __vdso_clock_gettime                   [vdso]                   [.] 0x00007ffef8c05cf8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] __vdso_clock_gettime                   [vdso]                   [.] 0x00007ffef8c05d00  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] __vdso_clock_gettime                   [vdso]                   [.] 0x00007ffef8c05d30  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] _copy_from_user                        [kernel.kallsyms]        [k] 0xffffd3a84d42fac0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] _raw_spin_lock                         [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] _raw_spin_lock_irqsave                 [kernel.kallsyms]        [k] 0xffff8c3bd1e18bc8  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] _raw_spin_lock_irqsave                 [kernel.kallsyms]        [k] 0xffffd3a84d42fa30  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] _raw_spin_unlock                       [kernel.kallsyms]        [k] 0xffff8c3f0f323940  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] add_wait_queue                         [kernel.kallsyms]        [k] 0xffff8c3bd1e18118  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] add_wait_queue                         [kernel.kallsyms]        [k] 0xffff8c3cd93aeb58  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] add_wait_queue                         [kernel.kallsyms]        [k] 0xffffd3a84d42f680  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] add_wait_queue                         [kernel.kallsyms]        [k] 0xffffd3a84d42f730  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] add_wait_queue                         [kernel.kallsyms]        [k] 0xffffd3a84d42f828  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] add_wait_queue                         [kernel.kallsyms]        [k] 0xffffd3a84d42f988  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] add_wait_queue                         [kernel.kallsyms]        [k] 0xffffd3a84d42fae0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] add_wait_queue                         [kernel.kallsyms]        [k] 0xffffd3a84d42fb50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] arch_exit_to_user_mode_prepare.isra.0  [kernel.kallsyms]        [k] 0xffff8c3d4f3f61c0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] arch_exit_to_user_mode_prepare.isra.0  [kernel.kallsyms]        [k] 0xffffd3a84d42fb08  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] arch_exit_to_user_mode_prepare.isra.0  [kernel.kallsyms]        [k] 0xffffd3a84d42fb88  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] bql_lock_impl                          qemu-system-x86_64       [.] 0x00007ffef8c05db8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] call_cpuidle                           [kernel.kallsyms]        [k] 0xffff8c3bc0decd42  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] clock_gettime                          libc.so.6                [.] 0x00007ffef8c05cb8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] cpu_get_clock                          qemu-system-x86_64       [.] 0x00007ffef8c05d28  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] cpu_get_clock_locked                   qemu-system-x86_64       [.] 0x00007ffef8c05bf8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] cpu_get_clock_locked                   qemu-system-x86_64       [.] 0x00007ffef8c05cc8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] cpu_get_clock_locked                   qemu-system-x86_64       [.] 0x00007ffef8c05d38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] cpuidle_enter                          [kernel.kallsyms]        [k] 0xffffd3a8401abee0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] ct_kernel_enter.isra.0                 [kernel.kallsyms]        [k] 0xffff8c3f0f330bb0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] dequeue_entities                       [kernel.kallsyms]        [k] 0xffff8c3bc790d424  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] dequeue_entities                       [kernel.kallsyms]        [k] 0xffff8c3f0f335f64  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] dequeue_entity                         [kernel.kallsyms]        [k] 0xffff8c3bc401a218  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] dequeue_entity                         [kernel.kallsyms]        [k] 0xffff8c3bc790d410  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] dequeue_entity                         [kernel.kallsyms]        [k] 0xffff8c3bd4ee8a10  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] dequeue_entity                         [kernel.kallsyms]        [k] 0xffff8c3f0f335ec8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] dequeue_entity                         [kernel.kallsyms]        [k] 0xffff8c3f0f335f40  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] dequeue_entity                         [kernel.kallsyms]        [k] 0xffff8c3f0f3360b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] dequeue_entity                         [kernel.kallsyms]        [k] 0xffffd3a84d42f570  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] dequeue_entity                         [kernel.kallsyms]        [k] 0xffffd3a84d42f610  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] dl_server_update_idle_time             [kernel.kallsyms]        [k] 0xffff8c3f0f336868  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_idle                                [kernel.kallsyms]        [k] 0xffffd3a8401abef7  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_idle                                [kernel.kallsyms]        [k] 0xffffd3a8401abf00  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_idle                                [kernel.kallsyms]        [k] 0xffffd3a8401abf08  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42f708  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42f888  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42f910  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42f918  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42f960  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42f968  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42f990  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42f9c0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42fa08  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42fa18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42fa4a  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42fb00  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42fb90  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42fd98  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_syscall_64                          [kernel.kallsyms]        [k] 0xffffd3a84d42fc18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] do_syscall_64                          [kernel.kallsyms]        [k] 0xffffd3a84d42ff28  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] enqueue_entity                         [kernel.kallsyms]        [k] 0xffff8c3bc401a208  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] enqueue_entity                         [kernel.kallsyms]        [k] 0xffff8c3f0f335ecc  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] enqueue_entity                         [kernel.kallsyms]        [k] 0xffffd3a8401abd98  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] entry_SYSCALL_64_after_hwframe         [kernel.kallsyms]        [k] 0xffffd3a84d42ff88  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] entry_SYSCALL_64_after_hwframe         [kernel.kallsyms]        [k] 0xffffd3a84d42ff90  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] exc_page_fault                         [kernel.kallsyms]        [k] 0xffffd3a846143990  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] fdget                                  [kernel.kallsyms]        [k] 0xffff8c3c99d13300  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] fdget                                  [kernel.kallsyms]        [k] 0xffff8c3d520b7f00  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] fdget                                  [kernel.kallsyms]        [k] 0xffffd3a84d42f730  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] fdget                                  [kernel.kallsyms]        [k] 0xffffd3a84d42f7b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] fdget                                  [kernel.kallsyms]        [k] 0xffffd3a84d42f868  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] fdget                                  [kernel.kallsyms]        [k] 0xffffd3a84d42fa20  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] fdget                                  [kernel.kallsyms]        [k] 0xffffd3a84d42fa48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] fput                                   [kernel.kallsyms]        [k] 0xffff8c3c3908e9c0  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] fput                                   [kernel.kallsyms]        [k] 0xffff8c3d520b7f00  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] free_unref_page                        [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] free_unref_page                        [kernel.kallsyms]        [k] 0xffffd3a84d42f770  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] g_array_set_size                       libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05da8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] g_array_set_size                       libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05db8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] g_main_context_acquire                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05dc0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] g_main_context_check                   libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d98  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] g_main_context_prepare                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05db8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] g_main_context_query                   libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05da8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] g_private_get                          libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d80  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] g_ptr_array_add                        libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05ca8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] g_ptr_array_add                        libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cb8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] g_source_ref                           libglib-2.0.so.0.8400.4  [.] 0x000055eb46688bb8  [heap]             None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] get_page_from_freelist                 [kernel.kallsyms]        [k] 0xffffd3a84d42f5a8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] get_page_from_freelist                 [kernel.kallsyms]        [k] 0xffffd3a84d42f870  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] get_vtime_delta                        [kernel.kallsyms]        [k] 0xffffd3a84d42fbb8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] get_vtime_delta                        [kernel.kallsyms]        [k] 0xffffd3a84d42fdf8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] hrtimer_get_next_event                 [kernel.kallsyms]        [k] 0xffffd3a8401abdc8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] hrtimer_next_event_without             [kernel.kallsyms]        [k] 0xffffd3a8401abe48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] hrtimer_next_event_without             [kernel.kallsyms]        [k] 0xffffd3a8401abe60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] hrtimer_start_range_ns                 [kernel.kallsyms]        [k] 0xffffd3a8401abcd8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] hrtimer_start_range_ns                 [kernel.kallsyms]        [k] 0xffffd3a84d42f680  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] hrtimer_start_range_ns                 [kernel.kallsyms]        [k] 0xffffd3a84d42fa18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] ioapic_set_irq                         [kernel.kallsyms]        [k] 0xffffd3a84d42f820  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] ioapic_set_irq                         [kernel.kallsyms]        [k] 0xffffd3a84d42fb00  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [.] ioctl                                  libc.so.6                [.] 0x00007ffef8c05b80  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] ktime_get                              [kernel.kallsyms]        [k] 0xffffd3a8401abeb8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] ktime_get_ts64                         [kernel.kallsyms]        [k] 0xffffd3a84d42f918  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
