# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18  of event 'cpu_core/mem-loads-aux/'
# Total weight : 18
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    94.44%            17  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     5.56%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 86  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 6927
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                    Shared Object            Data Symbol                             Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ........................................  .......................  ......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     1.18%             1  82            LFB/MAB hit                              [k] __update_load_avg_cfs_rq              [kernel.kallsyms]        [k] 0xffff8c3f0f535f40                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        85                   0                   
     1.13%             1  78            L3 hit                                   [k] cpuidle_not_available                 [kernel.kallsyms]        [k] off+0x0                             [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        80                   0                   
     1.07%             1  74            L3 hit                                   [k] hrtimer_start_range_ns                [kernel.kallsyms]        [k] 0xffff8c3f0f325e50                  [kernel.kallsyms]   None          L2 miss                 No       N/A        95                   0                   
     1.04%             1  72            L3 hit                                   [k] rcu_sched_clock_irq                   [kernel.kallsyms]        [k] rcu_state+0x8                       [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        74                   0                   
     1.00%             1  69            L3 hit                                   [k] switch_mm_irqs_off                    [kernel.kallsyms]        [k] init_mm+0x78                        [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        71                   0                   
     0.98%             1  68            L3 hit                                   [k] __update_load_avg_cfs_rq              [kernel.kallsyms]        [k] 0xffff8c3bd4ee8a80                  [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       119                  0                   
     0.97%             1  67            LFB/MAB hit                              [.] main_loop_wait                        qemu-system-x86_64       [.] 0x000055eb118457f8                  anon                None          L1 or L2 hit            No       N/A        70                   0                   
     0.95%             1  66            LFB/MAB hit                              [.] notifier_list_notify                  qemu-system-x86_64       [.] 0x000055eb465e5450                  [heap]              None          L1 or L2 hit            No       N/A        107                  0                   
     0.95%             1  66            L3 hit                                   [k] switch_mm_irqs_off                    [kernel.kallsyms]        [k] page_offset_base+0x0                [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        68                   0                   
     0.88%             1  61            LFB/MAB hit                              [k] get_page_from_freelist                [kernel.kallsyms]        [k] 0xffff8c3f0f33c5b0                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        65                   0                   
