# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6  of event 'cpu_core/mem-loads-aux/'
# Total weight : 6
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             6  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 22  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 1394
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                                      Data Object           Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  ...............................................  ....................  ............  ......................  ......  ..........  ...................  ....................
#
     4.13%             1  5             L1 hit                                   [k] __enqueue_entity            [kernel.kallsyms]        [k] 0xffffd3a8401abd48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] _raw_spin_lock_irqsave      [kernel.kallsyms]        [k] 0xffffd3a84d42f8a0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] do_idle                     [kernel.kallsyms]        [k] 0xffffd3a8401abef7  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] enqueue_dl_entity           [kernel.kallsyms]        [k] 0xffffd3a8401abd40  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] enqueue_entity              [kernel.kallsyms]        [k] 0xffffd3a8401abd58  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] fput                        [kernel.kallsyms]        [k] 0xffff8c3c3908e3c0  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] free_unref_page_commit      [kernel.kallsyms]        [k] 0xffffd3a84d42f5e8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] get_nohz_timer_target       [kernel.kallsyms]        [k] 0xffffd3a84d42f634  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] hrtimer_interrupt           [kernel.kallsyms]        [k] 0xffffd3a84007efa8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] hrtimer_next_event_without  [kernel.kallsyms]        [k] 0xffffd3a8401abe48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] menu_select                 [kernel.kallsyms]        [k] 0xffffd3a8401abea8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] place_entity                [kernel.kallsyms]        [k] 0xffff8c3d4f3f4e40  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] poll_freewait               [kernel.kallsyms]        [k] 0xffffd3a84d42f690  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] poll_freewait               [kernel.kallsyms]        [k] 0xffffd3a84d42f9a0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [.] ppoll                       libc.so.6                [.] 0x00007ffef8c05d58  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [.] pthread_mutex_lock          libc.so.6                [.] 0x000055eb46687ba8  [heap]             None          L1 or L2 hit            Yes      N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] put_prev_task_fair          [kernel.kallsyms]        [k] 0xffffd3a84d42f5f0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [k] syscall_exit_to_user_mode   [kernel.kallsyms]        [k] 0xffffd3a84d42fe28  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [.] 0x000000000005e0a1          libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cb8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [.] 0x000000000005da43          libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cc8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [.] 0x000000000005debd          libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d48  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.13%             1  5             L1 hit                                   [.] 0x000000000005ddf9          libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d88  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.83%             1  0             L3 miss                                  [k] _copy_from_user             [kernel.kallsyms]        [k] 0xffffd3a84d42fe07  [kernel.kallsyms]  N/A           L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: To trace only single function with Processor Trace use perf record --filter 'filter func @ program' -e intel_pt//u ./program ; perf script --insn-trace)
#
