# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7  of event 'cpu_core/mem-loads-aux/'
# Total weight : 7
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             7  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 48  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 2839
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                                        Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  .................................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     9.19%             1  261           LFB/MAB hit                              [.] 0x000000000005db78                     libglib-2.0.so.0.8400.4  [.] 0x000055eb46687ed8                             [heap]                   None          L1 or L2 hit            No       N/A        263                  0                   
     7.01%             1  199           LFB/MAB hit                              [.] pthread_mutex_lock                     libc.so.6                [.] 0x000055eb11814fc8                             anon                     None          L1 or L2 hit            No       N/A        201                  0                   
     6.27%             1  178           LFB/MAB hit                              [k] __switch_to                            [kernel.kallsyms]        [k] 0xffff8c3d4f3f62d4                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        187                  0                   
     4.86%             1  138           RAM hit                                  [k] tty_poll                               [kernel.kallsyms]        [k] 0xffff8c3c4b6e17c0                             [kernel.kallsyms]        Hit           L2 miss                 No       N/A        159                  0                   
     4.58%             1  130           RAM hit                                  [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3bc401a280                             [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        199                  0                   
     4.54%             1  129           LFB/MAB hit                              [.] timerlistgroup_deadline_ns             qemu-system-x86_64       [.] 0x000055eb466831b0                             [heap]                   None          L1 or L2 hit            No       N/A        132                  0                   
     4.54%             1  129           RAM hit                                  [k] hook_file_ioctl                        [kernel.kallsyms]        [k] 0xffff8c3d374d4c30                             [kernel.kallsyms]        Hit           L2 miss                 No       N/A        314                  0                   
