# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7  of event 'cpu_core/mem-loads-aux/'
# Total weight : 7
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             7  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 21  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 975
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                     Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
    13.64%             1  133           RAM hit                                  [k] task_tick_mm_cid       [kernel.kallsyms]        [k] 0xffff8c3bc0ded640  [kernel.kallsyms]  Hit           L1 or L2 hit            No       N/A        135                  0                   
    12.51%             1  122           RAM hit                                  [k] next_signal            [kernel.kallsyms]        [k] 0xffff8c3bc1f6c3d0  [kernel.kallsyms]  Hit           L2 miss                 No       N/A        279                  0                   
    11.38%             1  111           L3 hit                                   [.] pthread_mutex_lock     libc.so.6                [.] 0x00007f115c1037d0  anon               None          L2 miss                 No       N/A        195                  0                   
     8.72%             1  85            L3 hit                                   [k] eventfd_poll           [kernel.kallsyms]        [k] 0xffff8c3cd93aeb60  [kernel.kallsyms]  None          L2 miss                 No       N/A        106                  0                   
     8.31%             1  81            L3 hit                                   [k] enqueue_task_fair      [kernel.kallsyms]        [k] 0xffff8c3bc790f050  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        113                  0                   
     8.31%             1  81            L3 hit                                   [k] kvm_irq_map_gsi        [kernel.kallsyms]        [k] 0xffff8c3ca4162120  [kernel.kallsyms]  None          L2 miss                 No       N/A        216                  0                   
     6.67%             1  65            LFB/MAB hit                              [k] eventfd_poll           [kernel.kallsyms]        [k] 0xffff8c3c99d13020  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        79                   0                   
