# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9  of event 'cpu_core/mem-loads-aux/'
# Total weight : 9
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    77.78%             7  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    22.22%             2  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 102  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 5277
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                              Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  .......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     1.31%             1  69            L3 hit                                   [k] restore_fpregs_from_fpstate            [kernel.kallsyms]        [k] fpu_kernel_cfg+0x8                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        73                   0                   
     1.27%             1  67            LFB/MAB hit                              [k] update_load_avg                        [kernel.kallsyms]        [k] 0xffff8c3bd4ee8ba4                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        213                  0                   
     1.27%             1  67            L3 hit                                   [k] cpuidle_enter_state                    [kernel.kallsyms]        [k] 0xffff8c3f0f341930                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        145                  0                   
     1.27%             1  67            L3 hit                                   [k] n_tty_poll                             [kernel.kallsyms]        [k] 0xffffd3a8466cb008                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        249                  0                   
     1.25%             1  66            LFB/MAB hit                              [k] free_unref_page                        [kernel.kallsyms]        [k] 0xfffffcaf0864ed48                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        94                   0                   
     1.21%             1  64            L3 hit                                   [k] menu_select                            [kernel.kallsyms]        [k] intel_idle_driver+0x120              [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        66                   0                   
     1.19%             1  63            L3 hit                                   [k] arch_exit_to_user_mode_prepare.isra.0  [kernel.kallsyms]        [k] x86_pred_cmd+0x0                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        65                   0                   
     1.19%             1  63            L3 hit                                   [.] qemu_set_irq                           qemu-system-x86_64       [.] 0x000055eb46e20a40                   [heap]              None          L2 miss                 No       N/A        84                   0                   
     1.17%             1  62            L3 hit                                   [.] gsi_handler                            qemu-system-x86_64       [.] 0x000055eb11814424                   anon                None          L1 or L2 hit            No       N/A        64                   0                   
     1.12%             1  59            LFB/MAB hit                              [k] __alloc_pages_noprof                   [kernel.kallsyms]        [k] 0xffff8c3f1f7d7480                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        76                   0                   
     1.10%             1  58            L3 hit                                   [k] eventfd_poll                           [kernel.kallsyms]        [k] 0xffff8c3bd1e186a0                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        60                   0                   
     1.10%             1  58            L3 hit                                   [.] qemu_mutex_lock_impl                   qemu-system-x86_64       [.] 0x000055eb11845958                   anon                None          L2 miss                 No       N/A        127                  0                   
     1.10%             1  58            L3 hit                                   [.] 0x0000000000756b60                     qemu-system-x86_64       [.] 0x00007f115ca4c198                   anon                None          L1 or L2 hit            No       N/A        62                   0                   
     1.08%             1  57            LFB/MAB hit                              [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bc790f0b0                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        59                   0                   
     1.08%             1  57            L3 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3bc401a280                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        114                  0                   
     1.06%             1  56            L3 hit                                   [k] tomoyo_domain                          [kernel.kallsyms]        [k] tomoyo_blob_sizes+0x28               [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        58                   0                   
     1.04%             1  55            LFB/MAB hit                              [k] free_unref_page_commit                 [kernel.kallsyms]        [k] 0xffff8c3f0f33c5c4                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        104                  0                   
