# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9  of event 'cpu_core/mem-loads-aux/'
# Total weight : 9
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    77.78%             7  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    22.22%             2  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 102  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 5277
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                              Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  .......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     1.03%             1  5             L1 hit                                   [k] __alloc_pages_noprof            [kernel.kallsyms]        [k] 0xffffd3a84d42f7d8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __ct_user_exit                  [kernel.kallsyms]        [k] 0xffffd3a84d42fe30  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __dequeue_entity                [kernel.kallsyms]        [k] 0xffffd3a8401abd88  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __enqueue_entity                [kernel.kallsyms]        [k] 0xffff8c3bfbe2f028  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __flush_work                    [kernel.kallsyms]        [k] 0xffffd3a84d42f7d0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __hrtimer_next_event_base       [kernel.kallsyms]        [k] 0xffffd3a8401abe30  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __pollwait                      [kernel.kallsyms]        [k] 0xffffd3a84d42f860  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __pollwait                      [kernel.kallsyms]        [k] 0xffffd3a84d42f880  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __rcu_read_lock                 [kernel.kallsyms]        [k] 0xffff8c3d4f3f553c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __remove_hrtimer                [kernel.kallsyms]        [k] 0xffffd3a8401abce8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __rmqueue_pcplist               [kernel.kallsyms]        [k] 0xffffd3a84d42f7e0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __schedule                      [kernel.kallsyms]        [k] 0xffff8c3f0f336948  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __schedule                      [kernel.kallsyms]        [k] 0xffffd3a84d42f948  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __switch_to                     [kernel.kallsyms]        [k] 0xffffd3a8401abe28  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] __vdso_clock_gettime            [vdso]                   [.] 0x00007ffef8c05d30  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] __vdso_clock_gettime            [vdso]                   [.] 0x00007ffef8c05d38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __vmx_vcpu_run                  [kernel.kallsyms]        [k] 0xffffd3a84b233b70  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] __x64_sys_ioctl                 [kernel.kallsyms]        [k] 0xffffd3a84d42fba0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] _raw_spin_unlock                [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] add_wait_queue                  [kernel.kallsyms]        [k] 0xffffd3a84d42f748  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] add_wait_queue                  [kernel.kallsyms]        [k] 0xffffd3a84d42f970  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] aio_prepare                     qemu-system-x86_64       [.] 0x00007ffef8c05c90  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] clock_gettime                   libc.so.6                [.] 0x00007ffef8c05cb8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] cpu_get_clock_locked            qemu-system-x86_64       [.] 0x00007ffef8c05cb0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] cpuidle_enter_state             [kernel.kallsyms]        [k] 0xffffd3a8401abea8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] ct_kernel_exit.isra.0           [kernel.kallsyms]        [k] 0xffff8c3f0f330bb8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] ct_kernel_exit.isra.0           [kernel.kallsyms]        [k] 0xffffd3a84d42fdd0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] dequeue_entity                  [kernel.kallsyms]        [k] 0xffff8c3bc790d408  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] dequeue_task_fair               [kernel.kallsyms]        [k] 0xffffd3a84d42f7b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] do_sys_poll                     [kernel.kallsyms]        [k] 0xffffd3a84d42f6a8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] do_sys_poll                     [kernel.kallsyms]        [k] 0xffffd3a84d42f810  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] do_sys_poll                     [kernel.kallsyms]        [k] 0xffffd3a84d42f980  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] do_sys_poll                     [kernel.kallsyms]        [k] 0x000055eb479ed69e  [unknown]          None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] do_syscall_64                   [kernel.kallsyms]        [k] 0xffffd3a84d42fc38  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] enqueue_entity                  [kernel.kallsyms]        [k] 0xffff8c3bc401a208  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] enqueue_entity                  [kernel.kallsyms]        [k] 0xffff8c3bd4ee9e50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] enqueue_entity                  [kernel.kallsyms]        [k] 0xffffd3a8401abd58  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] enqueue_entity                  [kernel.kallsyms]        [k] 0xffffd3a8401abd80  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] enqueue_task_fair               [kernel.kallsyms]        [k] 0xffffd3a8401abda0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] entry_SYSCALL_64_after_hwframe  [kernel.kallsyms]        [k] 0xffffd3a84d42ff80  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] entry_SYSCALL_64_after_hwframe  [kernel.kallsyms]        [k] 0xffffd3a84d42ff90  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] entry_SYSCALL_64_after_hwframe  [kernel.kallsyms]        [k] 0xffffd3a84d42ffa0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] entry_SYSCALL_64_safe_stack     [kernel.kallsyms]        [k] 0xffffd3a84d42ffe0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] fdget                           [kernel.kallsyms]        [k] 0xffff8c3c99d139c0  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] fdget                           [kernel.kallsyms]        [k] 0xffffd3a84d42f6b8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] fdget                           [kernel.kallsyms]        [k] 0xffffd3a84d42f7a0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] fdget                           [kernel.kallsyms]        [k] 0xffffd3a84d42f808  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] fdget                           [kernel.kallsyms]        [k] 0xffffd3a84d42fa40  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] fetch_next_timer_interrupt      [kernel.kallsyms]        [k] 0xffffd3a8401abdd0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] finish_task_switch.isra.0       [kernel.kallsyms]        [k] 0xffffd3a8401abe48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] finish_task_switch.isra.0       [kernel.kallsyms]        [k] 0xffffd3a84d42f6b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] fput                            [kernel.kallsyms]        [k] 0xffff8c3d4ea42240  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] g_main_context_acquire          libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05dc0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] get_timespec64                  [kernel.kallsyms]        [k] 0xffffd3a84d42fb70  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] kvm_set_irq                     [kernel.kallsyms]        [k] 0xffffd3a84d42fc10  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] object_dynamic_cast_assert      qemu-system-x86_64       [.] 0x00007ffef8c05c90  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] object_dynamic_cast_assert      qemu-system-x86_64       [.] 0x00007ffef8c05ca8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] psi_group_change                [kernel.kallsyms]        [k] 0xffffd3a8401abde8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] psi_group_change                [kernel.kallsyms]        [k] 0xffffd3a8401abdf8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] pthread_mutex_lock              libc.so.6                [.] 0x000055eb466863e4  [heap]             None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] pthread_mutex_lock              libc.so.6                [.] 0x00007ffef8c05d00  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] qemu_mutex_unlock_impl          qemu-system-x86_64       [.] 0x00007ffef8c05db0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] qemu_mutex_unlock_impl          qemu-system-x86_64       [.] 0x00007ffef8c05e28  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] remove_wait_queue               [kernel.kallsyms]        [k] 0xffffd3a84d42fae8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] reweight_entity                 [kernel.kallsyms]        [k] 0xffff8c3bfbe2f0a0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] reweight_entity                 [kernel.kallsyms]        [k] 0xffffd3a8401abd50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] sched_clock                     [kernel.kallsyms]        [k] 0xffffd3a84d42fb18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] sched_clock_cpu                 [kernel.kallsyms]        [k] 0xffffd3a8401abdb0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] select_estimate_accuracy        [kernel.kallsyms]        [k] 0xffffd3a84d42f920  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] tick_nohz_next_event            [kernel.kallsyms]        [k] 0xffffd3a8401abe58  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] tick_nohz_next_event            [kernel.kallsyms]        [k] 0xffffd3a8401abe60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] timerlist_deadline_ns           qemu-system-x86_64       [.] 0x00007ffef8c05c38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] tsc_verify_tsc_adjust           [kernel.kallsyms]        [k] 0xffffd3a8401abeb8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] tty_ldisc_ref_wait              [kernel.kallsyms]        [k] 0xffffd3a84d42fa18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] tty_poll                        [kernel.kallsyms]        [k] 0xffffd3a84d42f848  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] update_entity_lag               [kernel.kallsyms]        [k] 0xffffd3a84d42f6a8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] update_load_avg                 [kernel.kallsyms]        [k] 0xffffd3a84d42f590  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] update_rq_clock                 [kernel.kallsyms]        [k] 0xffffd3a8401abe78  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] xa_find                         [kernel.kallsyms]        [k] 0xffffd3a84d42fbb0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [k] xa_find_after                   [kernel.kallsyms]        [k] 0xffffd3a84d42fa50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x0000000000097737              libc.so.6                [.] 0x000055eb466863e0  [heap]             None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x000000000009776a              libc.so.6                [.] 0x000055eb46686448  [heap]             None          L1 or L2 hit            Yes      N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x000000000005dabe              libglib-2.0.so.0.8400.4  [.] 0x000055eb46687df0  [heap]             None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x00000000000bdb8a              libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05a78  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x00000000000bdb61              libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05b18  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x00000000000be639              libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bc8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x00000000000951fc              libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05be4  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x000000000005c6d9              libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05c98  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x000000000005e021              libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cc8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x000000000005de7b              libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cd8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x000000000005c660              libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d48  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x000000000005ddf2              libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d98  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x0000000000a4fe42              qemu-system-x86_64       [.] 0x00007ffef8c05c88  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x0000000000a4f8af              qemu-system-x86_64       [.] 0x00007ffef8c05cb8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x0000000000b18625              qemu-system-x86_64       [.] 0x00007ffef8c05d24  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.03%             1  5             L1 hit                                   [.] 0x0000000000b1d436              qemu-system-x86_64       [.] 0x00007ffef8c05d58  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.21%             1  0             L3 miss                                  [k] __flush_work                    [kernel.kallsyms]        [k] 0xffffd3a84d42f707  [kernel.kallsyms]  N/A           L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: Show estimate cycles per function and IPC in annotate use perf record -b ... ; perf report --total-cycles)
#
