# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7  of event 'cpu_core/mem-loads-aux/'
# Total weight : 7
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             7  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 41  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 1979
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol                                 Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..............................  .......................  ..........................................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.25%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq    [kernel.kallsyms]        [k] 0xffff8c3bcabadc98                      [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        227                  0                   
     0.25%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq    [kernel.kallsyms]        [k] 0xffffd3a8401abcc8                      [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        63                   0                   
     0.25%             1  5             L1 hit                                   [k] __update_load_avg_se        [kernel.kallsyms]        [k] 0xffff8c3d4f3f4e90                      [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        48                   0                   
     0.25%             1  5             L1 hit                                   [k] _raw_spin_lock_irq          [kernel.kallsyms]        [k] 0xffff8c3bc0059c00                      [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        40                   0                   
     0.25%             1  5             L1 hit                                   [k] _raw_spin_lock_irqsave      [kernel.kallsyms]        [k] 0xffff8c3f0f325e40                      [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        53                   0                   
     0.25%             1  5             L1 hit                                   [k] ct_idle_exit                [kernel.kallsyms]        [k] 0xffffd3a8401abe78                      [kernel.kallsyms]  None          L1 or L2 hit            No       Addr       41                   0                   
     0.25%             1  5             L1 hit                                   [k] fdget                       [kernel.kallsyms]        [k] 0xffff8c3bc1aa7548                      [kernel.kallsyms]  None          L1 or L2 hit            No       Addr       146                  0                   
     0.25%             1  5             L1 hit                                   [k] fput                        [kernel.kallsyms]        [k] 0xffff8c3c99d139c0                      [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        48                   0                   
     0.25%             1  5             L1 hit                                   [.] g_mutex_unlock              libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                      [heap]             None          L1 or L2 hit            Yes      N/A        48                   0                   
     0.25%             1  5             L1 hit                                   [.] g_source_ref                libglib-2.0.so.0.8400.4  [.] 0x000055eb466878f8                      [heap]             None          L1 or L2 hit            Yes      N/A        46                   0                   
     0.25%             1  5             L1 hit                                   [k] kvm_ioapic_set_irq          [kernel.kallsyms]        [k] 0xffff8c3d477480e8                      [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        377                  0                   
     0.25%             1  5             L1 hit                                   [k] poll_select_finish          [kernel.kallsyms]        [k] 0xffffd3a84d42fba8                      [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        62                   0                   
     0.25%             1  5             L1 hit                                   [k] psi_group_change            [kernel.kallsyms]        [k] 0xffffd3a84b233988                      [kernel.kallsyms]  None          L1 or L2 hit            No       Addr       71                   0                   
     0.25%             1  5             L1 hit                                   [.] 0x000000000005a6f3          libglib-2.0.so.0.8400.4  [.] 0x000055eb46688bb8                      [heap]             None          L1 or L2 hit            Yes      N/A        67                   0                   
     0.25%             1  5             L1 hit                                   [.] 0x0000000000b1860f          qemu-system-x86_64       [.] 0x00007ffef8c05cb0                      [stack]            None          L1 or L2 hit            Yes      N/A        51                   0                   


# Samples: 26  of event 'cpu_core/mem-stores/P'
# Total weight : 126
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
