# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6  of event 'cpu_core/mem-loads-aux/'
# Total weight : 6
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             6  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 23  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 1767
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol                                Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..............................  .......................  .........................................  .................  ............  ......................  ......  ..........  ...................  ....................
#
    13.13%             1  232           LFB/MAB hit                              [k] __update_load_avg_cfs_rq    [kernel.kallsyms]        [k] 0xffff8c3bc401a290                     [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        241                  0                   
    11.54%             1  204           LFB/MAB hit                              [k] intel_idle                  [kernel.kallsyms]        [k] 0xffff8c3bc0decd42                     [kernel.kallsyms]  None          L2 miss                 Yes      N/A        384                  0                   
     9.28%             1  164           RAM hit                                  [k] intel_bts_disable_local     [kernel.kallsyms]        [k] 0xffff8c3f0f31e000                     [kernel.kallsyms]  Hit           L2 miss                 No       N/A        186                  0                   
     8.83%             1  156           L3 hit                                   [k] llist_reverse_order         [kernel.kallsyms]        [k] 0xffff8c3d4f3f4d78                     [kernel.kallsyms]  HitM          L2 miss                 No       N/A        254                  0                   
     7.92%             1  140           RAM hit                                  [k] dl_server_update_idle_time  [kernel.kallsyms]        [k] 0xffff8c3f0f33687c                     [kernel.kallsyms]  Hit           L1 or L2 hit            No       N/A        142                  0                   
     7.07%             1  125           L3 hit                                   [k] __alloc_pages_noprof        [kernel.kallsyms]        [k] gfp_allowed_mask+0x0                   [kernel.kallsyms]  Miss          L1 or L2 hit            No       N/A        134                  0                   
     5.26%             1  93            L3 hit                                   [k] __get_user_8                [kernel.kallsyms]        [k] 0x00007f115ca4bba8                     [unknown]          None          L2 miss                 No       N/A        377                  0                   
     4.92%             1  87            L3 hit                                   [k] get_jiffies_update          [kernel.kallsyms]        [k] last_jiffies_update+0x0                [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        89                   0                   
