# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12  of event 'cpu_core/mem-loads-aux/'
# Total weight : 12
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.34%             1  63            L3 hit                                   [k] psi_group_change                         [kernel.kallsyms]        [k] 0xffff8c3bfbdc2c08                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        74                   0                   
     0.33%             1  62            L3 hit                                   [.] gsi_handler                              qemu-system-x86_64       [.] 0x000055eb4668db80                             [heap]                   None          L1 or L2 hit            No       N/A        64                   0                   
     0.33%             1  62            L3 hit                                   [k] record_steal_time                        [kernel.kallsyms]        [k] USER_PTR_MAX+0x0                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        71                   0                   
     0.33%             1  62            L3 hit                                   [k] schedule                                 [kernel.kallsyms]        [k] 0xffff8c3cc7d75a30                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        64                   0                   
     0.33%             1  62            L3 hit                                   [k] x86_pmu_disable                          [kernel.kallsyms]        [k] 0xffff8c3f0f31a450                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        71                   0                   
     0.33%             1  61            LFB/MAB hit                              [k] __cgroup_account_cputime                 [kernel.kallsyms]        [k] 0xffff8c3c0a49cbd8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        77                   0                   
     0.33%             1  61            LFB/MAB hit                              [k] pick_task_fair                           [kernel.kallsyms]        [k] 0xffff8c3bfbe2fa51                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        63                   0                   
     0.33%             1  61            L3 hit                                   [k] cpuidle_reflect                          [kernel.kallsyms]        [k] menu_governor+0x40                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        63                   0                   
     0.33%             1  61            L3 hit                                   [k] switch_mm_irqs_off                       [kernel.kallsyms]        [k] 0xffff8c3f0f3351c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        65                   0                   
     0.33%             1  61            L3 hit                                   [k] update_cfs_group                         [kernel.kallsyms]        [k] 0xffff8c3bda02fa68                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        70                   0                   
     0.32%             1  59            LFB/MAB hit                              [k] fdget                                    [kernel.kallsyms]        [k] 0xffff8c3d4ea42240                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        70                   0                   
     0.32%             1  59            LFB/MAB hit                              [k] record_times                             [kernel.kallsyms]        [k] 0xfffff3a83f962d70                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        76                   0                   
     0.32%             1  59            L3 hit                                   [k] kvm_load_host_xsave_state                [kernel.kallsyms]        [k] 0xffff8c3c92d79490                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        61                   0                   
     0.32%             1  59            L3 hit                                   [k] mark_page_dirty_in_slot                  [kernel.kallsyms]        [k] 0xffff8c3f0f339020                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        70                   0                   
     0.31%             1  58            LFB/MAB hit                              [k] psi_group_change                         [kernel.kallsyms]        [k] 0xffff8c3f0f321648                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        60                   0                   
     0.31%             1  58            LFB/MAB hit                              [.] 0x0000000000b181a0                       qemu-system-x86_64       [.] 0x000055eb46683078                             [heap]                   None          L1 or L2 hit            No       N/A        60                   0                   
     0.31%             1  58            L3 hit                                   [k] psi_group_change                         [kernel.kallsyms]        [k] 0xffff8c3bd800ba80                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        68                   0                   
     0.31%             1  58            L3 hit                                   [k] tomoyo_domain                            [kernel.kallsyms]        [k] 0xffff8c3ce0e4bd28                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        60                   0                   
     0.31%             1  58            L3 hit                                   [k] update_cfs_group                         [kernel.kallsyms]        [k] 0xffff8c3bcde73a80                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        74                   0                   
     0.31%             1  58            L3 hit                                   [.] 0x000000000005d8e5                       libglib-2.0.so.0.8400.4  [.] 0x000055eb4765b3f0                             [heap]                   None          L1 or L2 hit            No       N/A        74                   0                   
     0.31%             1  57            LFB/MAB hit                              [k] avg_vruntime                             [kernel.kallsyms]        [k] 0xffff8c3bfbe2f050                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        66                   0                   
     0.31%             1  57            LFB/MAB hit                              [k] kvm_pic_set_irq                          [kernel.kallsyms]        [k] 0xffff8c3bc1898a26                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        59                   0                   
     0.31%             1  57            LFB/MAB hit                              [k] pic_get_irq                              [kernel.kallsyms]        [k] 0xffff8c3bc1898a3a                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        59                   0                   
     0.31%             1  57            LFB/MAB hit                              [.] 0x0000000000affe73                       qemu-system-x86_64       [.] 0x000055eb466866e8                             [heap]                   None          L1 or L2 hit            No       N/A        66                   0                   
     0.31%             1  57            L3 hit                                   [k] cfs_task_bw_constrained                  [kernel.kallsyms]        [k] 0xffff8c3bc130fb08                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        59                   0                   
     0.31%             1  57            L3 hit                                   [k] tty_poll                                 [kernel.kallsyms]        [k] 0xffff8c3be8fe00b0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        66                   0                   
     0.31%             1  57            L3 hit                                   [.] 0x000000000005d8e0                       libglib-2.0.so.0.8400.4  [.] 0x000055eb46687f50                             [heap]                   None          L1 or L2 hit            No       N/A        59                   0                   
     0.31%             1  57            L3 hit                                   [.] 0x000000000005db99                       libglib-2.0.so.0.8400.4  [.] 0x00007f10c57834f0                             anon                     None          L1 or L2 hit            No       N/A        66                   0                   
     0.30%             1  56            LFB/MAB hit                              [k] kvm_irq_map_gsi                          [kernel.kallsyms]        [k] 0xffff8c3c3aee15e8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        58                   0                   
     0.30%             1  56            LFB/MAB hit                              [k] vmx_handle_exit_irqoff                   [kernel.kallsyms]        [k] 0xfffffe0000000fb8                             [unknown]                None          L1 or L2 hit            No       N/A        72                   0                   
     0.30%             1  56            L3 hit                                   [k] tomoyo_init_request_info                 [kernel.kallsyms]        [k] tomoyo_kernel_domain+0x50                      [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        58                   0                   
     0.30%             1  56            L3 hit                                   [.] 0x000000000008f668                       libc.so.6                [.] 0x00007f115ca4c748                             anon                     None          L1 or L2 hit            No       N/A        65                   0                   
     0.30%             1  55            LFB/MAB hit                              [k] kvm_irq_map_gsi                          [kernel.kallsyms]        [k] 0xffff8c3ca4162128                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        71                   0                   
     0.30%             1  55            LFB/MAB hit                              [k] psi_task_switch                          [kernel.kallsyms]        [k] 0xffff8c3c2ff69968                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        65                   0                   
     0.30%             1  55            L3 hit                                   [k] vmx_prepare_switch_to_guest              [kernel.kallsyms]        [k] 0xffff8c3c92d799d0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        57                   0                   
     0.30%             1  55            L3 hit                                   [k] xas_start                                [kernel.kallsyms]        [k] 0xffff8c3ca17a76c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        64                   0                   
     0.29%             1  54            LFB/MAB hit                              [.] g_mutex_lock                             libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                             [heap]                   None          L1 or L2 hit            Yes      N/A        65                   0                   
     0.29%             1  54            L3 hit                                   [k] sched_can_stop_tick                      [kernel.kallsyms]        [k] 0xffff8c3f0f336790                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        56                   0                   
     0.29%             1  53            L3 hit                                   [.] g_main_context_prepare@plt               qemu-system-x86_64       [.] 0x000055eb1170f4b8                             qemu-system-x86_64       None          L1 or L2 hit            No       N/A        55                   0                   
     0.29%             1  53            L3 hit                                   [k] hook_file_ioctl                          [kernel.kallsyms]        [k] 0xffff8c3d374d4c30                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        62                   0                   
     0.29%             1  53            L3 hit                                   [k] poll_freewait                            [kernel.kallsyms]        [k] 0xffff8c3e405a2008                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        55                   0                   
     0.29%             1  53            L3 hit                                   [k] sock_poll                                [kernel.kallsyms]        [k] 0xffff8c3b10d8b9e8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        62                   0                   
     0.28%             1  52            LFB/MAB hit                              [k] __switch_to_asm                          [kernel.kallsyms]        [k] 0xffffd3a84d42f858                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        61                   0                   
     0.28%             1  52            LFB/MAB hit                              [k] fdget                                    [kernel.kallsyms]        [k] 0xffff8c3c3908eb4d                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        54                   0                   
     0.28%             1  52            LFB/MAB hit                              [k] get_page_from_freelist                   [kernel.kallsyms]        [k] 0xffff8c3f1f7d7480                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        62                   0                   
     0.28%             1  52            LFB/MAB hit                              [.] qemu_set_irq                             qemu-system-x86_64       [.] 0x000055eb471f4848                             [heap]                   None          L1 or L2 hit            No       N/A        54                   0                   
     0.28%             1  52            L3 hit                                   [.] slirp_pollfds_poll                       libslirp.so.0.4.0        [.] 0x000055eb47a2f6a0                             [heap]                   None          L1 or L2 hit            No       N/A        68                   0                   
     0.27%             1  51            L3 hit                                   [k] fire_user_return_notifiers               [kernel.kallsyms]        [k] 0xfffff3a83f934db8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        67                   0                   
     0.27%             1  51            L3 hit                                   [.] 0x00000000006cfccb                       qemu-system-x86_64       [.] 0x000055eb474541c0                             [heap]                   None          L1 or L2 hit            No       N/A        53                   0                   
     0.27%             1  50            L3 hit                                   [k] __sysvec_apic_timer_interrupt            [kernel.kallsyms]        [k] 0xffff8c3f0f321080                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        66                   0                   
     0.27%             1  50            L3 hit                                   [k] xas_start                                [kernel.kallsyms]        [k] 0xffff8c3ca17a76c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        59                   0                   
     0.26%             1  49            LFB/MAB hit                              [k] __update_load_avg_cfs_rq                 [kernel.kallsyms]        [k] 0xffff8c3bd4ee8a14                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        51                   0                   
     0.26%             1  49            L3 hit                                   [.] g_array_set_size@plt                     qemu-system-x86_64       [.] 0x000055eb1170e688                             qemu-system-x86_64       None          L1 or L2 hit            No       N/A        51                   0                   
     0.26%             1  49            L3 hit                                   [.] slirp_pollfds_fill                       libslirp.so.0.4.0        [.] 0x000055eb479ddb04                             [heap]                   None          L1 or L2 hit            No       N/A        51                   0                   
     0.26%             1  49            L3 hit                                   [.] 0x000000000005db78                       libglib-2.0.so.0.8400.4  [.] 0x00007f10c436e638                             anon                     None          L1 or L2 hit            No       N/A        58                   0                   
     0.26%             1  48            LFB/MAB hit                              [k] ktime_get                                [kernel.kallsyms]        [k] tk_core+0x30                                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        71                   0                   
     0.26%             1  48            LFB/MAB hit                              [.] object_dynamic_cast_assert               qemu-system-x86_64       [.] 0x000055eb466aa8c8                             [heap]                   None          L1 or L2 hit            No       N/A        50                   0                   
     0.26%             1  48            L3 hit                                   [.] gsi_handler                              qemu-system-x86_64       [.] 0x000055eb11814424                             anon                     None          L1 or L2 hit            No       N/A        50                   0                   
     0.26%             1  48            L3 hit                                   [k] sched_numa_find_closest                  [kernel.kallsyms]        [k] 0xffff8c3bc004f108                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        50                   0                   
     0.25%             1  47            LFB/MAB hit                              [.] pthread_mutex_lock                       libc.so.6                [.] 0x000055eb11814270                             anon                     None          L1 or L2 hit            No       N/A        49                   0                   
     0.25%             1  46            LFB/MAB hit                              [.] qemu_set_irq                             qemu-system-x86_64       [.] 0x000055eb471f25e8                             [heap]                   None          L1 or L2 hit            No       N/A        62                   0                   
     0.25%             1  46            LFB/MAB hit                              [.] 0x000000000005db78                       libglib-2.0.so.0.8400.4  [.] 0x00007f10c40b2558                             anon                     None          L1 or L2 hit            No       N/A        63                   0                   
     0.25%             1  46            L3 hit                                   [k] arch_exit_to_user_mode_prepare.isra.0    [kernel.kallsyms]        [k] 0xffff8c3d4f3f61c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        48                   0                   
     0.25%             1  46            L3 hit                                   [.] object_dynamic_cast_assert               qemu-system-x86_64       [.] 0x000055eb471f3790                             [heap]                   None          L1 or L2 hit            No       N/A        48                   0                   
     0.25%             1  46            L3 hit                                   [.] pic_stat_update_irq                      qemu-system-x86_64       [.] 0x000055eb11813920                             anon                     None          L1 or L2 hit            No       N/A        48                   0                   
     0.25%             1  46            L3 hit                                   [.] slirp_pollfds_poll                       libslirp.so.0.4.0        [.] 0x000055eb46956a34                             [heap]                   None          L1 or L2 hit            No       N/A        49                   0                   
     0.25%             1  46            L3 hit                                   [.] 0x000000000005d998                       libglib-2.0.so.0.8400.4  [.] qio_channel_fd_source_funcs+0x8                qemu-system-x86_64       None          L1 or L2 hit            No       N/A        55                   0                   
     0.24%             1  45            LFB/MAB hit                              [k] vmx_vmexit                               [kernel.kallsyms]        [k] 0xffffd3a84b233910                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        47                   0                   
     0.24%             1  44            LFB/MAB hit                              [.] notifier_list_notify                     qemu-system-x86_64       [.] 0x000055eb465e5450                             [heap]                   None          L1 or L2 hit            No       N/A        60                   0                   
     0.24%             1  44            L3 hit                                   [.] qemu_main_loop                           qemu-system-x86_64       [.] 0x000055eb11814e90                             anon                     None          L1 or L2 hit            No       N/A        46                   0                   
     0.23%             1  43            LFB/MAB hit                              [k] __switch_to_asm                          [kernel.kallsyms]        [k] 0xffff8c3d4f3f6258                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       59                   0                   
     0.23%             1  43            LFB/MAB hit                              [k] hrtimer_start_range_ns                   [kernel.kallsyms]        [k] 0xffff8c3f0f325e88                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        45                   0                   
     0.23%             1  43            LFB/MAB hit                              [k] update_curr_dl_se                        [kernel.kallsyms]        [k] 0xffff8c3f0f33687c                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        45                   0                   
     0.23%             1  42            LFB/MAB hit                              [k] __update_load_avg_se                     [kernel.kallsyms]        [k] 0xffff8c3bc790f0d8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        45                   0                   
     0.23%             1  42            LFB/MAB hit                              [k] kvm_load_host_xsave_state                [kernel.kallsyms]        [k] 0xffff8c3c92d787e0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        44                   0                   
     0.23%             1  42            LFB/MAB hit                              [.] 0x0000000000b1d385                       qemu-system-x86_64       [.] 0x000055eb474568d0                             [heap]                   None          L1 or L2 hit            No       N/A        58                   0                   
     0.23%             1  42            L3 hit                                   [k] kvm_irq_map_gsi                          [kernel.kallsyms]        [k] 0xffff8c3c3aee15c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        44                   0                   
     0.22%             1  41            LFB/MAB hit                              [k] tcp_stream_memory_free                   [kernel.kallsyms]        [k] 0xffff8c3b10d8bfb4                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        43                   0                   
     0.21%             1  39            LFB/MAB hit                              [k] tcp_stream_memory_free                   [kernel.kallsyms]        [k] 0xffff8c3b10d8bfb4                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        41                   0                   
     0.21%             1  39            LFB/MAB hit                              [.] timerlistgroup_deadline_ns               qemu-system-x86_64       [.] 0x000055eb1182655c                             anon                     None          L1 or L2 hit            No       N/A        41                   0                   
     0.21%             1  39            LFB/MAB hit                              [.] 0x000000000005db78                       libglib-2.0.so.0.8400.4  [.] 0x000055eb46687ed8                             [heap]                   None          L1 or L2 hit            No       N/A        41                   0                   
     0.20%             1  37            LFB/MAB hit                              [.] g_source_ref                             libglib-2.0.so.0.8400.4  [.] 0x000055eb466878f8                             [heap]                   None          L1 or L2 hit            Yes      N/A        45                   0                   
     0.18%             1  33            LFB/MAB hit                              [k] __list_del_entry_valid_or_report         [kernel.kallsyms]        [k] 0xffff8c3e405a20c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       35                   0                   
     0.18%             1  33            LFB/MAB hit                              [.] qemu_mutex_lock_impl                     qemu-system-x86_64       [.] 0x000055eb46687bd0                             [heap]                   None          L1 or L2 hit            No       N/A        36                   0                   
     0.18%             1  33            L2 hit                                   [k] mutex_is_locked                          [kernel.kallsyms]        [k] 0xffff8c3c0532f060                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        36                   0                   
     0.17%             1  31            LFB/MAB hit                              [k] __update_load_avg_se                     [kernel.kallsyms]        [k] 0xffff8c3bc790f0c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       64                   0                   
     0.17%             1  31            LFB/MAB hit                              [.] pthread_mutex_lock                       libc.so.6                [.] 0x000055eb1181426c                             anon                     None          L1 or L2 hit            No       N/A        33                   0                   
     0.16%             1  30            LFB/MAB hit                              [k] __list_del_entry_valid_or_report         [kernel.kallsyms]        [k] 0xffff8c3e405a20c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        32                   0                   
     0.16%             1  30            LFB/MAB hit                              [k] schedule_hrtimeout_range_clock           [kernel.kallsyms]        [k] 0xffffd3a84d42f718                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        32                   0                   
     0.16%             1  30            L2 hit                                   [k] update_load_avg                          [kernel.kallsyms]        [k] 0xffff8c3cc7d74e80                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        32                   0                   
     0.10%             1  19            L2 hit                                   [.] slirp_pollfds_poll                       libslirp.so.0.4.0        [.] 0x000055eb47a2f6c0                             [heap]                   None          L1 or L2 hit            No       N/A        35                   0                   
     0.08%             1  15            LFB/MAB hit                              [.] 0x00000000000599d2                       libglib-2.0.so.0.8400.4  [.] 0x00007f10c5900594                             anon                     None          L1 or L2 hit            No       N/A        32                   0                   
     0.08%             1  15            L2 hit                                   [k] kvm_get_running_vcpu                     [kernel.kallsyms]        [k] 0xffff8c3f0f339020                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        36                   0                   
     0.08%             1  15            L2 hit                                   [k] native_irq_return_iret                   [kernel.kallsyms]        [k] 0xfffffe1fb61a8010                             [unknown]                None          L1 or L2 hit            No       N/A        33                   0                   
     0.08%             1  15            L2 hit                                   [.] qemu_set_irq                             qemu-system-x86_64       [.] 0x000055eb46e20a38                             [heap]                   None          L1 or L2 hit            No       N/A        32                   0                   
     0.06%             1  12            LFB/MAB hit                              [k] _raw_spin_lock_irqsave                   [kernel.kallsyms]        [k] 0xffff8c3bd1e18048                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      Addr       37                   0                   
     0.06%             1  12            LFB/MAB hit                              [k] hrtimer_active                           [kernel.kallsyms]        [k] 0xffff8c3f0f225e98                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        36                   0                   
     0.03%             1  5             L1 hit                                   [k] __cgroup_account_cputime                 [kernel.kallsyms]        [k] 0xffff8c3f0f319a18                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       133                  0                   
     0.03%             1  5             L1 hit                                   [k] __ct_user_enter                          [kernel.kallsyms]        [k] 0xffffd3a84b233ba8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        36                   0                   
     0.03%             1  5             L1 hit                                   [k] __flush_work                             [kernel.kallsyms]        [k] 0xffffd3a84d42f738                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        357                  0                   
     0.03%             1  5             L1 hit                                   [k] __pollwait                               [kernel.kallsyms]        [k] 0xffff8c3c3908e3c0                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        96                   0                   
     0.03%             1  5             L1 hit                                   [k] __pollwait                               [kernel.kallsyms]        [k] 0xffff8c3c99d13300                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        236                  0                   
     0.03%             1  5             L1 hit                                   [k] __pollwait                               [kernel.kallsyms]        [k] 0xffff8c3c99d139c0                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      Addr       102                  0                   
     0.03%             1  5             L1 hit                                   [k] __rmqueue_pcplist                        [kernel.kallsyms]        [k] 0xffff8c3f0f300028                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       89                   0                   
     0.03%             1  5             L1 hit                                   [k] __rmqueue_pcplist                        [kernel.kallsyms]        [k] 0xffffd3a84d42f540                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       144                  0                   
     0.03%             1  5             L1 hit                                   [k] __srcu_read_lock                         [kernel.kallsyms]        [k] 0xffffd3a84d42f93c                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        41                   0                   
     0.03%             1  5             L1 hit                                   [k] __srcu_read_lock                         [kernel.kallsyms]        [k] 0xffffd3a84d42fb6c                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        73                   0                   
     0.03%             1  5             L1 hit                                   [k] __switch_to                              [kernel.kallsyms]        [k] 0xffff8c3cc7d74d40                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        49                   0                   
     0.03%             1  5             L1 hit                                   [k] __switch_to                              [kernel.kallsyms]        [k] 0xffff8c3cc7d74d40                             [kernel.kallsyms]        None          L1 or L2 hit            No       Data       51                   0                   
     0.03%             1  5             L1 hit                                   [k] __switch_to                              [kernel.kallsyms]        [k] 0xffff8c3d4f3f4d40                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        42                   0                   
     0.03%             1  5             L1 hit                                   [k] __switch_to                              [kernel.kallsyms]        [k] 0xffff8c3d4f3f4d40                             [kernel.kallsyms]        None          L1 or L2 hit            No       Data Addr  52                   0                   
     0.03%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq                 [kernel.kallsyms]        [k] 0xffff8c3bfbe2f090                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        42                   0                   
     0.03%             1  5             L1 hit                                   [k] __update_load_avg_se                     [kernel.kallsyms]        [k] 0xffff8c3bc790f0d0                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       138                  0                   
     0.03%             1  5             L1 hit                                   [k] __update_load_avg_se                     [kernel.kallsyms]        [k] 0xffff8c3cc7d74e88                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        201                  0                   
     0.03%             1  5             L1 hit                                   [k] __update_load_avg_se                     [kernel.kallsyms]        [k] 0xffffd3a84007edc0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        45                   0                   
     0.03%             1  5             L1 hit                                   [k] __update_load_avg_se                     [kernel.kallsyms]        [k] 0xffffd3a84b233830                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        214                  0                   
     0.03%             1  5             L1 hit                                   [k] cond_accept_memory                       [kernel.kallsyms]        [k] 0xffffd3a84d42f7c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        42                   0                   
     0.03%             1  5             L1 hit                                   [k] context_tracking_recursion_enter         [kernel.kallsyms]        [k] 0xffffd3a84d42fc50                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       37                   0                   
     0.03%             1  5             L1 hit                                   [k] ct_kernel_enter.isra.0                   [kernel.kallsyms]        [k] 0xffff8c3f0f330ba8                             [kernel.kallsyms]        None          L1 or L2 hit            No       Data       61                   0                   
     0.03%             1  5             L1 hit                                   [k] ct_kernel_enter.isra.0                   [kernel.kallsyms]        [k] 0xffff8c3f0f330ba8                             [kernel.kallsyms]        None          L1 or L2 hit            No       Data       55                   0                   
     0.03%             1  5             L1 hit                                   [k] ct_kernel_enter.isra.0                   [kernel.kallsyms]        [k] 0xffff8c3f0f330ba8                             [kernel.kallsyms]        None          L1 or L2 hit            No       Data       34                   0                   
     0.03%             1  5             L1 hit                                   [k] ct_kernel_exit_state                     [kernel.kallsyms]        [k] 0xffff8c3f0f330ba8                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        52                   0                   
     0.03%             1  5             L1 hit                                   [k] ct_kernel_exit_state                     [kernel.kallsyms]        [k] 0xffff8c3f0f330ba8                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        48                   0                   
     0.03%             1  5             L1 hit                                   [k] ct_kernel_exit_state                     [kernel.kallsyms]        [k] 0xffff8c3f0f330ba8                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        34                   0                   
     0.03%             1  5             L1 hit                                   [k] fdget                                    [kernel.kallsyms]        [k] 0xffff8c3bee851840                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        73                   0                   
     0.03%             1  5             L1 hit                                   [k] fdget                                    [kernel.kallsyms]        [k] 0xffff8c3bee851840                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        62                   0                   
     0.03%             1  5             L1 hit                                   [k] fdget                                    [kernel.kallsyms]        [k] 0xffff8c3bee851840                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        48                   0                   
     0.03%             1  5             L1 hit                                   [k] fdget                                    [kernel.kallsyms]        [k] 0xffff8c3c99d13840                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        46                   0                   
     0.03%             1  5             L1 hit                                   [k] fdget                                    [kernel.kallsyms]        [k] 0xffffd3a84d42f9c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        77                   0                   
     0.03%             1  5             L1 hit                                   [k] fdget                                    [kernel.kallsyms]        [k] 0xffffd3a84d42fa50                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        43                   0                   
     0.03%             1  5             L1 hit                                   [k] fdget                                    [kernel.kallsyms]        [k] 0xffffd3a84d42fa58                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       198                  0                   
     0.03%             1  5             L1 hit                                   [k] fput                                     [kernel.kallsyms]        [k] 0xffff8c3bee851840                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        48                   0                   
     0.03%             1  5             L1 hit                                   [k] fput                                     [kernel.kallsyms]        [k] 0xffff8c3c3908e3c0                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        60                   0                   
     0.03%             1  5             L1 hit                                   [k] fput                                     [kernel.kallsyms]        [k] 0xffff8c3c3908e9c0                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        85                   0                   
     0.03%             1  5             L1 hit                                   [k] fput                                     [kernel.kallsyms]        [k] 0xffff8c3c3908eb40                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        48                   0                   
     0.03%             1  5             L1 hit                                   [k] fput                                     [kernel.kallsyms]        [k] 0xffff8c3c3908eb40                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        36                   0                   
     0.03%             1  5             L1 hit                                   [k] fput                                     [kernel.kallsyms]        [k] 0xffff8c3c99d13000                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        82                   0                   
     0.03%             1  5             L1 hit                                   [k] fput                                     [kernel.kallsyms]        [k] 0xffff8c3c99d139c0                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        75                   0                   
