# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12  of event 'cpu_core/mem-loads-aux/'
# Total weight : 12
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.86%             1  159           L3 hit                                   [k] pick_eevdf                               [kernel.kallsyms]        [k] 0xffff8c3d4f3f4e30                             [kernel.kallsyms]        HitM          L1 or L2 hit            No       N/A        168                  0                   
     0.82%             1  153           L3 hit                                   [k] tomoyo_path_number_perm                  [kernel.kallsyms]        [k] tomoyo_pn2mac+0x4                              [kernel.kallsyms]        Miss          L1 or L2 hit            No       N/A        155                  0                   
     0.81%             1  151           RAM hit                                  [.] slirp_pollfds_poll                       libslirp.so.0.4.0        [.] 0x000055eb469581b0                             [heap]                   Hit           L1 or L2 hit            No       N/A        153                  0                   
     0.80%             1  148           L3 hit                                   [k] pick_next_task_fair                      [kernel.kallsyms]        [k] 0xffff8c3d4f3f4e60                             [kernel.kallsyms]        HitM          L1 or L2 hit            No       N/A        155                  0                   
     0.77%             1  144           LFB/MAB hit                              [k] pick_task_fair                           [kernel.kallsyms]        [k] 0xffff8c3bc790d450                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        160                  0                   
     0.77%             1  143           L3 hit                                   [k] cpu_latency_qos_limit                    [kernel.kallsyms]        [k] cpu_latency_constraints+0x10                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        145                  0                   
     0.75%             1  140           L3 hit                                   [k] psi_task_switch                          [kernel.kallsyms]        [k] 0xfffff3a83f3053d0                             [kernel.kallsyms]        HitM          L1 or L2 hit            No       N/A        149                  0                   
     0.74%             1  137           LFB/MAB hit                              [k] ct_kernel_exit_state                     [kernel.kallsyms]        [k] 0xffff8c3f0f319a18                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        141                  0                   
     0.74%             1  137           L3 hit                                   [k] __schedule                               [kernel.kallsyms]        [k] 0xffff8c3f0f3369d8                             [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        139                  0                   
     0.70%             1  131           L3 hit                                   [k] vruntime_eligible                        [kernel.kallsyms]        [k] 0xffff8c3bfbe2f030                             [kernel.kallsyms]        HitM          L1 or L2 hit            No       N/A        133                  0                   
     0.69%             1  129           LFB/MAB hit                              [k] __update_load_avg_se                     [kernel.kallsyms]        [k] 0xffff8c3bfbe2fad8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        132                  0                   
     0.68%             1  127           L3 hit                                   [k] vruntime_eligible                        [kernel.kallsyms]        [k] 0xffff8c3bfbe2f030                             [kernel.kallsyms]        HitM          L1 or L2 hit            No       N/A        129                  0                   
     0.67%             1  125           LFB/MAB hit                              [k] irq_work_single                          [kernel.kallsyms]        [k] 0xffff8c3f0f3263f0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        128                  0                   
     0.67%             1  125           LFB/MAB hit                              [k] vruntime_eligible                        [kernel.kallsyms]        [k] 0xffff8c3bc401a238                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        127                  0                   
     0.67%             1  125           RAM hit                                  [k] rb_erase                                 [kernel.kallsyms]        [k] 0xffffd3a84c2a7cc8                             [kernel.kallsyms]        Hit           L2 miss                 No       N/A        511                  0                   
     0.65%             1  121           LFB/MAB hit                              [k] __flush_smp_call_function_queue          [kernel.kallsyms]        [k] 0xffff8c3f0f3263e8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        123                  0                   
     0.65%             1  121           LFB/MAB hit                              [k] ct_kernel_exit_state                     [kernel.kallsyms]        [k] 0xffff8c3f0f330ba8                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        123                  0                   
     0.65%             1  121           RAM hit                                  [k] timerqueue_add                           [kernel.kallsyms]        [k] 0xffffd3a86036fce0                             [kernel.kallsyms]        Hit           L2 miss                 No       N/A        310                  0                   
     0.64%             1  119           LFB/MAB hit                              [k] pick_task_fair                           [kernel.kallsyms]        [k] 0xffff8c3bc401a451                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        128                  0                   
     0.64%             1  119           L3 hit                                   [k] vruntime_eligible                        [kernel.kallsyms]        [k] 0xffff8c3bd4ee9e00                             [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        128                  0                   
     0.63%             1  117           L3 hit                                   [k] __schedule                               [kernel.kallsyms]        [k] 0xffff8c3cc7d755e0                             [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        121                  0                   
     0.61%             1  113           L3 hit                                   [k] psi_task_switch                          [kernel.kallsyms]        [k] 0xffff8c3c0dc6ec30                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        122                  0                   
