# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7  of event 'cpu_core/mem-loads-aux/'
# Total weight : 7
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     6.67%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq        [kernel.kallsyms]        [k] 0xffff8c3f0f335fe0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] __update_load_avg_se            [kernel.kallsyms]        [k] 0xffff8c3bc401a4e8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [.] cpu_get_clock                   qemu-system-x86_64       [.] 0x00007ffef8c05d48  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] cpuidle_governor_latency_req    [kernel.kallsyms]        [k] 0xffffd3a8401abe88  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] ct_kernel_exit.isra.0           [kernel.kallsyms]        [k] 0xffff8c3d4f3f556c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] entry_SYSCALL_64_after_hwframe  [kernel.kallsyms]        [k] 0xffffd3a84d42ff58  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] set_normalized_timespec64       [kernel.kallsyms]        [k] 0xffffd3a84d42fe60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] tick_nohz_next_event            [kernel.kallsyms]        [k] 0xffffd3a8401abe58  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] update_curr_se                  [kernel.kallsyms]        [k] 0xffffd3a84d42f650  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] update_deadline                 [kernel.kallsyms]        [k] 0xffffd3a84007ee20  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] update_load_avg                 [kernel.kallsyms]        [k] 0xffffd3a8401abd48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [.] 0x00000000000be639              libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bc8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [.] 0x000000000005a21c              libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05da8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: To compute metrics for samples use perf record -e '{cycles,instructions}' ... ; perf script -F +metric)
#
