# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44  of event 'cpu_core/mem-loads-aux/'
# Total weight : 44
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object       Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  ..................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     1.98%             1  68            LFB/MAB hit                              [k] update_load_avg                  [kernel.kallsyms]        [k] 0xffff8c3f0f336078                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        70                   0                   
     1.89%             1  65            L3 hit                                   [k] __update_load_avg_cfs_rq         [kernel.kallsyms]        [k] 0xffff8c3bfbe2f080                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        67                   0                   
     1.86%             1  64            L3 hit                                   [k] native_sched_clock               [kernel.kallsyms]        [k] 0xffff8c3f0f335020                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        68                   0                   
     1.86%             1  64            L3 hit                                   [.] 0x000000000005d8e5               libglib-2.0.so.0.8400.4  [.] 0x000055eb4765b3f0                             [heap]                   None          L2 miss                 No       N/A        85                   0                   
     1.80%             1  62            L3 hit                                   [k] housekeeping_test_cpu            [kernel.kallsyms]        [k] 0xffff8c3f1f7c4f40                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        64                   0                   
     1.80%             1  62            L3 hit                                   [.] qemu_main_loop                   qemu-system-x86_64       [.] 0x000055eb11814e90                             anon                     None          L1 or L2 hit            No       N/A        64                   0                   
     1.75%             1  60            LFB/MAB hit                              [.] slirp_pollfds_poll               libslirp.so.0.4.0        [.] 0x000055eb469581a8                             [heap]                   None          L1 or L2 hit            No       N/A        62                   0                   
     1.75%             1  60            RAM hit                                  [.] timerlist_deadline_ns            qemu-system-x86_64       [.] 0x000055eb46687bd8                             [heap]                   Hit           L1 or L2 hit            No       N/A        62                   0                   
     1.72%             1  59            L3 hit                                   [k] switch_mm_irqs_off               [kernel.kallsyms]        [k] phys_base+0x0                                  [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        61                   0                   
     1.37%             1  47            L3 hit                                   [k] x86_pmu_disable                  [kernel.kallsyms]        [k] x86_pmu+0x10                                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        49                   0                   
     1.08%             1  37            LFB/MAB hit                              [k] __update_load_avg_se             [kernel.kallsyms]        [k] 0xffff8c3bc790f0a8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        39                   0                   
     0.15%             1  5             L1 hit                                   [k] __pollwait                       [kernel.kallsyms]        [k] 0xffff8c3c3908e3c0                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        99                   0                   
     0.15%             1  5             L1 hit                                   [k] __srcu_read_unlock               [kernel.kallsyms]        [k] 0xffffd3a84b2339bc                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        51                   0                   
     0.15%             1  5             L1 hit                                   [k] __switch_to                      [kernel.kallsyms]        [k] 0xffff8c3bc0decd40                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        55                   0                   
     0.15%             1  5             L1 hit                                   [k] do_idle                          [kernel.kallsyms]        [k] 0xffff8c3bc0decd42                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        128                  0                   
     0.15%             1  5             L1 hit                                   [k] fdget                            [kernel.kallsyms]        [k] 0xffffd3a84d42f948                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       33                   0                   
     0.15%             1  5             L1 hit                                   [k] fput                             [kernel.kallsyms]        [k] 0xffff8c3bee851840                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      Addr       32                   0                   
     0.15%             1  5             L1 hit                                   [k] fput                             [kernel.kallsyms]        [k] 0xffff8c3c3908eb40                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      Addr       42                   0                   
     0.15%             1  5             L1 hit                                   [k] fput                             [kernel.kallsyms]        [k] 0xffff8c3c99d13000                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        88                   0                   
     0.15%             1  5             L1 hit                                   [k] fput                             [kernel.kallsyms]        [k] 0xffffd3a84d42f788                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        57                   0                   
     0.15%             1  5             L1 hit                                   [.] g_mutex_unlock                   libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                             [heap]                   None          L1 or L2 hit            Yes      N/A        87                   0                   
     0.15%             1  5             L1 hit                                   [k] ldsem_up_read                    [kernel.kallsyms]        [k] 0xffff8c3c0532f030                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        38                   0                   
