# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44  of event 'cpu_core/mem-loads-aux/'
# Total weight : 44
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object       Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  ..................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.31%             1  5             L1 hit                                   [k] add_wait_queue                     [kernel.kallsyms]        [k] 0xffffd3a84d42f650  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] add_wait_queue                     [kernel.kallsyms]        [k] 0xffffd3a84d42f8b8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] add_wait_queue                     [kernel.kallsyms]        [k] 0xffffd3a84d42f920  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] add_wait_queue                     [kernel.kallsyms]        [k] 0xffffd3a84d42fac0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] aio_bh_poll                        qemu-system-x86_64       [.] 0x00007ffef8c05c98  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] aio_compute_timeout                qemu-system-x86_64       [.] 0x00007ffef8c05c88  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] clock_gettime                      libc.so.6                [.] 0x00007ffef8c05cb8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] context_tracking_recursion_enter   [kernel.kallsyms]        [k] 0xffff8c3f0f330ba4  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] cpu_get_clock                      qemu-system-x86_64       [.] 0x00007ffef8c05d70  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] cpu_get_clock_locked               qemu-system-x86_64       [.] 0x00007ffef8c05cd0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] cpuidle_enter                      [kernel.kallsyms]        [k] 0xffffd3a8401abec8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] cpuidle_enter_state                [kernel.kallsyms]        [k] 0xffffd3a8401abe88  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] ct_kernel_enter.isra.0             [kernel.kallsyms]        [k] 0xffff8c3f0f330bb8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] ct_kernel_exit.isra.0              [kernel.kallsyms]        [k] 0xffff8c3d4f3f556c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] ct_kernel_exit.isra.0              [kernel.kallsyms]        [k] 0xffff8c3f0f330bb0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] ct_kernel_exit.isra.0              [kernel.kallsyms]        [k] 0xffffd3a8401abe68  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] ct_kernel_exit.isra.0              [kernel.kallsyms]        [k] 0xffffd3a8401abe80  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] dequeue_entities                   [kernel.kallsyms]        [k] 0xffff8c3bc790d414  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] dequeue_entities                   [kernel.kallsyms]        [k] 0xffffd3a84d42f570  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] dequeue_entity                     [kernel.kallsyms]        [k] 0xffffd3a84d42f588  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] dequeue_task_fair                  [kernel.kallsyms]        [k] 0xffffd3a84d42f7c0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] dl_server_start                    [kernel.kallsyms]        [k] 0xffffd3a8401abd90  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] do_sys_poll                        [kernel.kallsyms]        [k] 0xffffd3a84d42f6e8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] do_sys_poll                        [kernel.kallsyms]        [k] 0xffffd3a84d42f728  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] do_sys_poll                        [kernel.kallsyms]        [k] 0xffffd3a84d42f878  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] do_sys_poll                        [kernel.kallsyms]        [k] 0xffffd3a84d42f8a8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] do_sys_poll                        [kernel.kallsyms]        [k] 0xffffd3a84d42f9e8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] do_sys_poll                        [kernel.kallsyms]        [k] 0xffffd3a84d42fac8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] do_sys_poll                        [kernel.kallsyms]        [k] 0xffffd3a84d42fb58  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] do_syscall_64                      [kernel.kallsyms]        [k] 0xffffd3a84d42fe48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] enqueue_entity                     [kernel.kallsyms]        [k] 0xffff8c3bd4ee8a08  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] enqueue_entity                     [kernel.kallsyms]        [k] 0xffff8c3bfbe2f010  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] enqueue_entity                     [kernel.kallsyms]        [k] 0xffffd3a8401abd58  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] enqueue_task_fair                  [kernel.kallsyms]        [k] 0xffff8c3bd4ee8a18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] enqueue_task_fair                  [kernel.kallsyms]        [k] 0xffff8c3f0f335f60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] enqueue_task_fair                  [kernel.kallsyms]        [k] 0xffffd3a8401abda8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffff8c3d520b7f00  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffffd3a84d42f840  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffffd3a84d42f860  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffffd3a84d42f8a0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffffd3a84d42f8a8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffffd3a84d42f918  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffffd3a84d42f980  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffffd3a84d42f9c8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffffd3a84d42f9d8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffffd3a84d42fbe8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] fetch_next_timer_interrupt         [kernel.kallsyms]        [k] 0xffffd3a8401abdb8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] free_unref_page_commit             [kernel.kallsyms]        [k] 0xffff8c3f0f33c5e0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] free_unref_page_commit             [kernel.kallsyms]        [k] 0xffffd3a84d42f978  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] free_unref_page_commit             [kernel.kallsyms]        [k] 0xffffd3a84d42f994  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] g_main_context_check               libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d98  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] g_main_context_dispatch            libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05db8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] g_main_context_prepare             libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05da8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] g_mutex_lock                       libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80  [heap]             None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] get_nohz_timer_target              [kernel.kallsyms]        [k] 0xffffd3a84d42f508  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] get_nohz_timer_target              [kernel.kallsyms]        [k] 0xffffd3a84d42f850  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] get_page_from_freelist             [kernel.kallsyms]        [k] 0xffffd3a84d42f5cf  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] get_page_from_freelist             [kernel.kallsyms]        [k] 0xffffd3a84d42f770  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] get_page_from_freelist             [kernel.kallsyms]        [k] 0xffffd3a84d42f7d0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] get_page_from_freelist             [kernel.kallsyms]        [k] 0xffffd3a84d42f88c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] get_timespec64                     [kernel.kallsyms]        [k] 0xffffd3a84d42fc00  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] get_vtime_delta                    [kernel.kallsyms]        [k] 0xffff8c3d4f3f57d8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] get_vtime_delta                    [kernel.kallsyms]        [k] 0xffffd3a84d42fc20  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] get_vtime_delta                    [kernel.kallsyms]        [k] 0xffffd3a84d42fc68  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] housekeeping_any_cpu               [kernel.kallsyms]        [k] 0xffffd3a84d42f858  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] hrtimer_next_event_without         [kernel.kallsyms]        [k] 0xffffd3a8401abe68  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] hrtimer_start_range_ns             [kernel.kallsyms]        [k] 0xffffd3a8401abcb0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] hrtimer_start_range_ns             [kernel.kallsyms]        [k] 0xffffd3a84d42f4e8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] hrtimer_start_range_ns             [kernel.kallsyms]        [k] 0xffffd3a84d42f750  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] hrtimer_start_range_ns             [kernel.kallsyms]        [k] 0xffffd3a84d42f9f0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] intel_pmu_disable_all              [kernel.kallsyms]        [k] 0xffffd3a84007ee60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] ioapic_set_irq                     [kernel.kallsyms]        [k] 0xffffd3a84d42f9e8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] ioctl                              libc.so.6                [.] 0x00007ffef8c05b68  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] kmem_cache_free                    [kernel.kallsyms]        [k] 0xffff8c3cbfa81100  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] kvm_irq_map_gsi                    [kernel.kallsyms]        [k] 0xffffd3a84d42fb90  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] kvm_pic_set_irq                    [kernel.kallsyms]        [k] 0xffffd3a84d42f988  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] kvm_report_irq_delivered           qemu-system-x86_64       [.] 0x00007ffef8c05ce8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] kvm_set_irq                        [kernel.kallsyms]        [k] 0xffffd3a84d42faa0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] kvm_vm_ioctl                       qemu-system-x86_64       [.] 0x00007ffef8c05bc8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] ldsem_down_read                    [kernel.kallsyms]        [k] 0xffffd3a84d42f888  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] local_clock_noinstr                [kernel.kallsyms]        [k] 0xffffd3a8401abe78  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] main_loop_wait                     qemu-system-x86_64       [.] 0x000055eb118457f8  anon               None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] main_loop_wait                     qemu-system-x86_64       [.] 0x00007ffef8c05e30  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] n_tty_poll                         [kernel.kallsyms]        [k] 0xffffd3a84d42f7e0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] pic_unlock                         [kernel.kallsyms]        [k] 0xffff8c3bc1898a04  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] pick_next_task_fair                [kernel.kallsyms]        [k] 0xffffd3a84d42f5d8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] place_entity                       [kernel.kallsyms]        [k] 0xffff8c3d4f3f4e30  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] place_entity                       [kernel.kallsyms]        [k] 0xffff8c3d4f3f4e40  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] place_entity                       [kernel.kallsyms]        [k] 0xffffd3a8401abd48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] poll_select_finish                 [kernel.kallsyms]        [k] 0xffffd3a84d42fba8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] process_backlog                    [kernel.kallsyms]        [k] 0xffff8c3f0f3371d8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] psi_group_change                   [kernel.kallsyms]        [k] 0xffffd3a8401abde0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] psi_group_change                   [kernel.kallsyms]        [k] 0xffffd3a8401abdf8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] psi_group_change                   [kernel.kallsyms]        [k] 0xffffd3a84d42f610  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] psi_group_change                   [kernel.kallsyms]        [k] 0xffffd3a84d42f65c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] psi_group_change                   [kernel.kallsyms]        [k] 0xffffd3a84d42f818  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] psi_group_change                   [kernel.kallsyms]        [k] 0xffffd3a84d42f878  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] psi_group_change                   [kernel.kallsyms]        [k] 0xfffff3a83f94f5c8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] psi_group_change                   [kernel.kallsyms]        [k] 0xfffff3a83f94f5d0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] psi_task_change                    [kernel.kallsyms]        [k] 0xffffd3a8401abdb8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] psi_task_switch                    [kernel.kallsyms]        [k] 0xffffd3a84d42f5c8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] pthread_mutex_lock                 libc.so.6                [.] 0x000055eb466863e0  [heap]             None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] put_prev_entity                    [kernel.kallsyms]        [k] 0xffffd3a84d42f8a8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] put_prev_task_idle                 [kernel.kallsyms]        [k] 0xffff8c3bc0dece18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] qemu_clock_get_ns                  qemu-system-x86_64       [.] 0x00007ffef8c05d70  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] qemu_clock_run_all_timers          qemu-system-x86_64       [.] 0x00007ffef8c05da8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] qemu_mutex_lock_impl               qemu-system-x86_64       [.] 0x00007ffef8c05c28  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] qemu_mutex_lock_impl               qemu-system-x86_64       [.] 0x00007ffef8c05d90  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] qemu_mutex_lock_impl               qemu-system-x86_64       [.] 0x00007ffef8c05e08  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] qemu_mutex_unlock_impl             qemu-system-x86_64       [.] 0x00007ffef8c05d70  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] qemu_poll_ns                       qemu-system-x86_64       [.] 0x00007ffef8c05d98  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] rb_insert_color                    [kernel.kallsyms]        [k] 0xffff8c3f0f3368d0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] record_times                       [kernel.kallsyms]        [k] 0xfffff3a83f9624f0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] record_times                       [kernel.kallsyms]        [k] 0xfffff3a83f962d70  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] remove_wait_queue                  [kernel.kallsyms]        [k] 0xffffd3a84d42f6c8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] remove_wait_queue                  [kernel.kallsyms]        [k] 0xffffd3a84d42f7e0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] remove_wait_queue                  [kernel.kallsyms]        [k] 0xffffd3a84d42f8d8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] remove_wait_queue                  [kernel.kallsyms]        [k] 0xffffd3a84d42f990  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] remove_wait_queue                  [kernel.kallsyms]        [k] 0xffffd3a84d42fac0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] replay_checkpoint                  qemu-system-x86_64       [.] 0x00007ffef8c05d38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] reweight_entity                    [kernel.kallsyms]        [k] 0xffffd3a8401abd50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] reweight_entity                    [kernel.kallsyms]        [k] 0xffffd3a84d42f5e0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] sched_clock                        [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] sched_clock                        [kernel.kallsyms]        [k] 0xffffd3a8401abd90  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] sched_clock                        [kernel.kallsyms]        [k] 0xffffd3a84d42fae0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] sched_clock                        [kernel.kallsyms]        [k] 0xffffd3a84d42fc60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] sched_clock_cpu                    [kernel.kallsyms]        [k] 0xffffd3a8401abd00  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] sched_numa_find_closest            [kernel.kallsyms]        [k] 0xffffd3a84d42f570  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] sched_tick                         [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] sched_tick                         [kernel.kallsyms]        [k] 0xffffd3a84007eeb0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] security_file_ioctl                [kernel.kallsyms]        [k] 0xffffd3a84d42fb60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] security_file_ioctl                [kernel.kallsyms]        [k] 0xffffd3a84d42fe60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] set_next_entity                    [kernel.kallsyms]        [k] 0xffff8c3bfbe2fa78  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] set_next_entity                    [kernel.kallsyms]        [k] 0xffffd3a8401abde0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] set_next_task_fair                 [kernel.kallsyms]        [k] 0xffff8c3d4f3f4e08  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] signalfd_poll                      [kernel.kallsyms]        [k] 0xffffd3a84d42f708  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] slirp_pollfds_fill                 libslirp.so.0.4.0        [.] 0x00007ffef8c05d88  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] slirp_pollfds_poll                 libslirp.so.0.4.0        [.] 0x00007ffef8c05d88  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] syscall_exit_to_user_mode          [kernel.kallsyms]        [k] 0xffffd3a84d42fb30  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] syscall_exit_to_user_mode          [kernel.kallsyms]        [k] 0xffffd3a84d42fb58  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] syscall_exit_to_user_mode_prepare  [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] syscall_exit_to_user_mode_prepare  [kernel.kallsyms]        [k] 0xffffd3a84d42fcc0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
