# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6  of event 'cpu_core/mem-loads-aux/'
# Total weight : 6
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     6.41%             1  5             L1 hit                                   [.] g_main_context_query        libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05da0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     6.41%             1  5             L1 hit                                   [k] put_prev_task_fair          [kernel.kallsyms]        [k] 0xffffd3a84d42f8b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.41%             1  5             L1 hit                                   [.] qemu_mutex_unlock_impl      qemu-system-x86_64       [.] 0x00007ffef8c05c40  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     6.41%             1  5             L1 hit                                   [k] reweight_entity             [kernel.kallsyms]        [k] 0xffffd3a8401abd40  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.41%             1  5             L1 hit                                   [k] sched_clock_cpu             [kernel.kallsyms]        [k] 0xffffd3a8401abda8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.41%             1  5             L1 hit                                   [k] set_user_sigmask            [kernel.kallsyms]        [k] 0xffffd3a84d42fc88  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.41%             1  5             L1 hit                                   [k] vmx_vcpu_load               [kernel.kallsyms]        [k] 0xffffd3a84b233960  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.41%             1  5             L1 hit                                   [.] 0x000000000005dec2          libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d58  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: Boolean options have negative forms, e.g.: perf report --no-children)
#
