# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 28  of event 'cpu_core/mem-loads-aux/'
# Total weight : 28
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     1.38%             1  140           RAM hit                                  [k] free_unref_page_commit            [kernel.kallsyms]        [k] 0xffff8c3f0f3312f8                         [kernel.kallsyms]   Hit           L1 or L2 hit            No       N/A        144                  0                   
     1.35%             1  137           RAM hit                                  [k] __list_add_valid_or_report        [kernel.kallsyms]        [k] 0xfffffcaf09221810                         [kernel.kallsyms]   Hit           L2 miss                 No       N/A        296                  0                   
     1.35%             1  137           RAM hit                                  [k] switch_mm_irqs_off                [kernel.kallsyms]        [k] phys_base+0x0                              [kernel.kallsyms]   Hit           L1 or L2 hit            No       N/A        139                  0                   
     1.30%             1  132           LFB/MAB hit                              [.] pthread_mutex_lock                libc.so.6                [.] 0x000055eb11814fd0                         anon                None          L1 or L2 hit            No       N/A        134                  0                   
     1.27%             1  128           LFB/MAB hit                              [k] __update_load_avg_cfs_rq          [kernel.kallsyms]        [k] 0xffff8c3bfbe2f09c                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        210                  0                   
     1.26%             1  127           LFB/MAB hit                              [k] timerqueue_add                    [kernel.kallsyms]        [k] 0xffff8c3f0f226430                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        129                  0                   
     1.25%             1  126           LFB/MAB hit                              [k] eventfd_poll                      [kernel.kallsyms]        [k] 0xffff8c3c3908e3e0                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       128                  0                   
     1.23%             1  124           L3 hit                                   [k] nr_iowait_cpu                     [kernel.kallsyms]        [k] 0xffff8c3f0f3369a8                         [kernel.kallsyms]   HitM          L1 or L2 hit            No       N/A        126                  0                   
     1.19%             1  120           LFB/MAB hit                              [k] restore_fpregs_from_fpstate       [kernel.kallsyms]        [k] 0xffff8c3e73181840                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        122                  0                   
     1.18%             1  119           LFB/MAB hit                              [k] __schedule                        [kernel.kallsyms]        [k] 0xffff8c3c3b4a8580                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        121                  0                   
     1.18%             1  119           LFB/MAB hit                              [.] 0x0000000000b1d3bc                qemu-system-x86_64       [.] 0x000055eb474568e0                         [heap]              None          L1 or L2 hit            No       N/A        128                  0                   
     1.15%             1  116           RAM hit                                  [k] _find_first_and_bit               [kernel.kallsyms]        [k] 0xffff8c3bc004fdc0                         [kernel.kallsyms]   Hit           L1 or L2 hit            No       N/A        118                  0                   
     1.14%             1  115           LFB/MAB hit                              [k] ext4_finish_bio                   [kernel.kallsyms]        [k] 0xffff8c3c3707ba90                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        118                  0                   
     1.14%             1  115           LFB/MAB hit                              [k] kvm_irq_map_gsi                   [kernel.kallsyms]        [k] 0xffff8c3ca4162128                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        387                  0                   
     1.14%             1  115           L3 hit                                   [k] __switch_to_asm                   [kernel.kallsyms]        [k] 0xffffd3a84b233af0                         [kernel.kallsyms]   None          L2 miss                 No       N/A        289                  0                   
     1.06%             1  107           LFB/MAB hit                              [k] _raw_spin_lock                    [kernel.kallsyms]        [k] 0xffff8c3f0f225e40                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        109                  0                   
     0.96%             1  97            RAM hit                                  [.] 0x000000000005d984                libglib-2.0.so.0.8400.4  [.] 0x000055eb46688bcc                         [heap]              Hit           L1 or L2 hit            No       N/A        100                  0                   
     0.91%             1  92            L3 hit                                   [k] pfn_to_dma_pte                    [kernel.kallsyms]        [k] page_offset_base+0x0                       [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        94                   0                   
     0.91%             1  92            L3 hit                                   [k] vmx_vcpu_pi_load                  [kernel.kallsyms]        [k] 0xffff8c3c92d79ea2                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        94                   0                   
     0.90%             1  91            LFB/MAB hit                              [k] menu_select                       [kernel.kallsyms]        [k] intel_idle_driver+0x1e8                    [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        94                   0                   
     0.89%             1  90            L3 hit                                   [k] n_tty_poll                        [kernel.kallsyms]        [k] 0xffffd3a8466cb05d                         [kernel.kallsyms]   None          L2 miss                 No       N/A        188                  0                   
     0.88%             1  89            LFB/MAB hit                              [k] _raw_spin_lock                    [kernel.kallsyms]        [k] 0xffff8c3bc1898a00                         [kernel.kallsyms]   None          L2 miss                 Yes      N/A        192                  0                   
     0.88%             1  89            LFB/MAB hit                              [k] ldsem_down_read                   [kernel.kallsyms]        [k] 0xffff8c3c0532f030                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        98                   0                   
     0.83%             1  84            L3 hit                                   [k] update_load_avg                   [kernel.kallsyms]        [k] 0xffff8c3bc790d4c4                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        86                   0                   
     0.82%             1  83            L3 hit                                   [k] cpu_latency_qos_limit             [kernel.kallsyms]        [k] cpu_latency_constraints+0x10               [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        85                   0                   
     0.80%             1  81            LFB/MAB hit                              [k] llist_add_batch                   [kernel.kallsyms]        [k] 0xffff8c3f0f5b7140                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        111                  0                   
     0.80%             1  81            L3 hit                                   [k] __radix_tree_lookup               [kernel.kallsyms]        [k] 0xffff8c3bc0401d08                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        83                   0                   
     0.80%             1  81            L3 hit                                   [k] __schedule                        [kernel.kallsyms]        [k] 0xffff8c3f0f336940                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        84                   0                   
     0.76%             1  77            L3 hit                                   [.] gsi_handler                       qemu-system-x86_64       [.] 0x000055eb11814424                         anon                None          L1 or L2 hit            No       N/A        79                   0                   
     0.75%             1  76            L3 hit                                   [k] psi_group_change                  [kernel.kallsyms]        [k] 0xffff8c3bd800b830                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        387                  0                   
     0.75%             1  76            L3 hit                                   [.] 0x00000000008f9ce7                qemu-system-x86_64       [.] 0x00007f10c405ee78                         anon                None          L1 or L2 hit            No       N/A        78                   0                   
     0.74%             1  75            L3 hit                                   [k] ext4_finish_bio                   [kernel.kallsyms]        [k] 0xfffffcaf0bcc20e8                         [kernel.kallsyms]   None          L2 miss                 No       N/A        97                   0                   
     0.74%             1  75            L3 hit                                   [k] housekeeping_test_cpu             [kernel.kallsyms]        [k] housekeeping+0x48                          [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        85                   0                   
     0.74%             1  75            L3 hit                                   [k] save_fpregs_to_fpstate            [kernel.kallsyms]        [k] alternatives_patched+0x0                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        77                   0                   
     0.74%             1  75            L3 hit                                   [k] tmigr_quick_check                 [kernel.kallsyms]        [k] 0xffff8c3bc0b34dd0                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        77                   0                   
     0.73%             1  74            LFB/MAB hit                              [k] psi_group_change                  [kernel.kallsyms]        [k] 0xfffff3a83f94f5c8                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        90                   0                   
     0.73%             1  74            LFB/MAB hit                              [k] update_load_avg                   [kernel.kallsyms]        [k] 0xffff8c3bfbe2f1a4                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        92                   0                   
     0.72%             1  73            L3 hit                                   [k] eventfd_poll                      [kernel.kallsyms]        [k] 0xffff8c3bd1e186a0                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       75                   0                   
     0.72%             1  73            L3 hit                                   [k] rb_erase                          [kernel.kallsyms]        [k] 0xffff8c3f0f3b68d0                         [kernel.kallsyms]   None          L2 miss                 No       N/A        164                  0                   
     0.71%             1  72            L3 hit                                   [k] switch_fpu_return                 [kernel.kallsyms]        [k] 0xffff8c3f0f320888                         [kernel.kallsyms]   None          L2 miss                 No       N/A        95                   0                   
     0.71%             1  72            L3 hit                                   [k] update_curr                       [kernel.kallsyms]        [k] 0xffff8c3bfbe2f138                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        81                   0                   
     0.70%             1  71            LFB/MAB hit                              [.] 0x0000000000affeda                qemu-system-x86_64       [.] 0x000055eb466866c8                         [heap]              None          L1 or L2 hit            No       N/A        74                   0                   
     0.70%             1  71            L3 hit                                   [k] kmem_cache_alloc_node_noprof      [kernel.kallsyms]        [k] 0xffff8c3cbfa80d00                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        80                   0                   
     0.70%             1  71            L3 hit                                   [k] psi_task_change                   [kernel.kallsyms]        [k] 0xffff8c3f0f321600                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        73                   0                   
