# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 28  of event 'cpu_core/mem-loads-aux/'
# Total weight : 28
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.05%             1  5             L1 hit                                   [k] fdget                             [kernel.kallsyms]        [k] 0xffff8c3c3908e3c0                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        155                  0                   
     0.05%             1  5             L1 hit                                   [k] fdget                             [kernel.kallsyms]        [k] 0xffffd3a84d42f758                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        35                   0                   
     0.05%             1  5             L1 hit                                   [k] fdget                             [kernel.kallsyms]        [k] 0xffffd3a84d42f988                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       34                   0                   
     0.05%             1  5             L1 hit                                   [k] fdget                             [kernel.kallsyms]        [k] 0xffffd3a84d42fa28                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       40                   0                   
     0.05%             1  5             L1 hit                                   [k] folio_clear_dirty_for_io          [kernel.kallsyms]        [k] 0xffffd3a84b7db5d8                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        219                  0                   
     0.05%             1  5             L1 hit                                   [k] folio_wait_writeback              [kernel.kallsyms]        [k] 0xfffffcaf0e4ecd00                         [kernel.kallsyms]   None          L1 or L2 hit            No       Data       75                   0                   
     0.05%             1  5             L1 hit                                   [k] fput                              [kernel.kallsyms]        [k] 0xffff8c3c3908e3c0                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      Addr       293                  0                   
     0.05%             1  5             L1 hit                                   [k] fput                              [kernel.kallsyms]        [k] 0xffff8c3d4ea42240                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        37                   0                   
     0.05%             1  5             L1 hit                                   [.] g_mutex_lock                      libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                         [heap]              None          L1 or L2 hit            Yes      N/A        61                   0                   
     0.05%             1  5             L1 hit                                   [k] intel_idle                        [kernel.kallsyms]        [k] 0xffff8c3bc0decd40                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        109                  0                   
     0.05%             1  5             L1 hit                                   [k] intel_idle                        [kernel.kallsyms]        [k] 0xffff8c3bc0decd42                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        83                   0                   
     0.05%             1  5             L1 hit                                   [k] psi_group_change                  [kernel.kallsyms]        [k] 0xffff8c3bfbdc2e80                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       107                  0                   
     0.05%             1  5             L1 hit                                   [k] psi_group_change                  [kernel.kallsyms]        [k] 0xffffd3a8401abd68                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       810                  0                   
     0.05%             1  5             L1 hit                                   [k] psi_group_change                  [kernel.kallsyms]        [k] 0xffffd3a8401abdb0                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        635                  0                   
     0.05%             1  5             L1 hit                                   [k] psi_group_change                  [kernel.kallsyms]        [k] 0xffffd3a84d42f638                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       77                   0                   
     0.05%             1  5             L1 hit                                   [k] psi_group_change                  [kernel.kallsyms]        [k] 0xffffd3a84d42f730                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        176                  0                   
     0.05%             1  5             L1 hit                                   [k] psi_group_change                  [kernel.kallsyms]        [k] 0xffffd3a84d42f768                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       69                   0                   
     0.05%             1  5             L1 hit                                   [.] qemu_clock_get_ns                 qemu-system-x86_64       [.] 0x00007ffef8c05d58                         [stack]             None          L1 or L2 hit            No       N/A        36                   0                   
     0.05%             1  5             L1 hit                                   [.] qemu_event_set                    qemu-system-x86_64       [.] 0x00007ffef8c05c80                         [stack]             None          L1 or L2 hit            Yes      N/A        82                   0                   
     0.05%             1  5             L1 hit                                   [k] record_times                      [kernel.kallsyms]        [k] 0xffffd3a8401abd60                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       549                  0                   
     0.05%             1  5             L1 hit                                   [k] signalfd_poll                     [kernel.kallsyms]        [k] 0xffffd3a84d42f80c                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        141                  0                   
     0.05%             1  5             L1 hit                                   [k] update_curr                       [kernel.kallsyms]        [k] 0xffffd3a84d42f620                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       153                  0                   
     0.05%             1  5             L1 hit                                   [k] update_curr                       [kernel.kallsyms]        [k] 0xffffd3a84d42f6f0                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       76                   0                   
     0.05%             1  5             L1 hit                                   [k] update_curr                       [kernel.kallsyms]        [k] 0xffffd3a84d42f768                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       182                  0                   
     0.05%             1  5             L1 hit                                   [k] update_curr_se                    [kernel.kallsyms]        [k] 0xffffd3a84b233a00                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       42                   0                   
     0.05%             1  5             L1 hit                                   [k] wbc_account_cgroup_owner          [kernel.kallsyms]        [k] 0xffffd3a84b7db590                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       55                   0                   
     0.05%             1  5             L1 hit                                   [.] 0x000000000005a6f3                libglib-2.0.so.0.8400.4  [.] 0x000055eb466878f8                         [heap]              None          L1 or L2 hit            Yes      N/A        46                   0                   
     0.05%             1  5             L1 hit                                   [.] 0x000000000005a6f3                libglib-2.0.so.0.8400.4  [.] 0x000055eb4765b3a8                         [heap]              None          L1 or L2 hit            Yes      N/A        97                   0                   
     0.05%             1  5             L1 hit                                   [.] 0x000000000005a6f3                libglib-2.0.so.0.8400.4  [.] 0x000055eb4765b3a8                         [heap]              None          L1 or L2 hit            Yes      N/A        45                   0                   
     0.05%             1  5             L1 hit                                   [.] 0x000000000005a6f3                libglib-2.0.so.0.8400.4  [.] 0x000055eb4765b3a8                         [heap]              None          L1 or L2 hit            Yes      N/A        42                   0                   
     0.01%             1  0             L1 hit                                   [k] __mod_memcg_lruvec_state          [kernel.kallsyms]        [k] 0xffffd3a84b7db4b8                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       48                   0                   


# Samples: 15  of event 'cpu_core/mem-stores/P'
# Total weight : 75
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                         Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .............................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     6.67%             1  5             L1 hit                                   [k] __enqueue_entity           [kernel.kallsyms]        [k] 0xffff8c3bc790d430  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] __hrtimer_next_event_base  [kernel.kallsyms]        [k] 0xffffd3a8401abe38  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] __pollwait                 [kernel.kallsyms]        [k] 0xffffd3a84d42f858  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] __rb_insert_augmented      [kernel.kallsyms]        [k] 0xffff8c3bc401a410  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] __rcu_read_lock            [kernel.kallsyms]        [k] 0xffff8c3d4f3f553c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] __run_timers               [kernel.kallsyms]        [k] 0xffffd3a84007eed8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] enqueue_entity             [kernel.kallsyms]        [k] 0xffffd3a8401abd98  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [.] kvm_set_irq                qemu-system-x86_64       [.] 0x00007ffef8c05cc8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [.] main_loop_wait             qemu-system-x86_64       [.] 0x00007ffef8c05e18  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] sched_clock                [kernel.kallsyms]        [k] 0xffffd3a8401abde0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] tick_nohz_next_event       [kernel.kallsyms]        [k] 0xffffd3a8401abe48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [.] timerlist_deadline_ns      qemu-system-x86_64       [.] 0x00007ffef8c05d98  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] timerqueue_del             [kernel.kallsyms]        [k] 0xffffd3a8401abcc0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [k] vtime_user_enter           [kernel.kallsyms]        [k] 0xffff8c3d4f3f57d0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     6.67%             1  5             L1 hit                                   [.] 0x000000000005de8c         libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d50  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: To only collect call graph on one event use perf record -e cpu/cpu-cycles,callgraph=1/,branches ; perf report --show-ref-call-graph)
#
