# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6  of event 'cpu_core/mem-loads-aux/'
# Total weight : 6
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             6  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 15  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 654
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                         Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .............................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
    24.46%             1  160           LFB/MAB hit                              [.] 0x000000000005db7d         libglib-2.0.so.0.8400.4  [.] 0x00007f10c46208e4  anon               None          L1 or L2 hit            No       N/A        192                  0                   
    13.30%             1  87            L3 hit                                   [k] timerqueue_add             [kernel.kallsyms]        [k] 0xffffd3a869017a60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        96                   0                   
    12.23%             1  80            L3 hit                                   [k] __flush_work               [kernel.kallsyms]        [k] 0xffff8c3bd22b0a20  [kernel.kallsyms]  None          L2 miss                 No       N/A        209                  0                   
    12.23%             1  80            L3 hit                                   [k] switch_mm_irqs_off         [kernel.kallsyms]        [k] 0xffff8c3c3b4a8958  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        229                  0                   
    11.16%             1  73            L3 hit                                   [k] intel_idle                 [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L2 miss                 No       N/A        368                  0                   
    10.24%             1  67            L3 hit                                   [.] cpus_get_virtual_clock     qemu-system-x86_64       [.] 0x000055eb46856750  [heap]             None          L1 or L2 hit            No       N/A        69                   0                   
    10.24%             1  67            L3 hit                                   [.] qemu_clock_run_all_timers  qemu-system-x86_64       [.] 0x000055eb46686398  [heap]             None          L1 or L2 hit            No       N/A        69                   0                   
     0.76%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq   [kernel.kallsyms]        [k] 0xffffd3a8401abcf8  [kernel.kallsyms]  None          L1 or L2 hit            No       Addr       84                   0                   
