# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5  of event 'cpu_core/mem-loads-aux/'
# Total weight : 5
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    80.00%             4  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    20.00%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 46  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 2440
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                           Shared Object            Data Symbol                                      Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...............................  .......................  ...............................................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     2.30%             1  56            LFB/MAB hit                              [k] kvm_irq_map_gsi              [kernel.kallsyms]        [k] 0xffff8c3c3aee1a40                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        168                  0                   
     2.25%             1  55            LFB/MAB hit                              [k] hrtimer_start_range_ns       [kernel.kallsyms]        [k] 0xffff8c3f0f325e50                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        58                   0                   
     1.27%             1  31            LFB/MAB hit                              [k] __schedule                   [kernel.kallsyms]        [k] 0xffff8c3bc0ded640                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        33                   0                   
     0.20%             1  5             L1 hit                                   [k] __schedule                   [kernel.kallsyms]        [k] 0xffff8c3bc0dedc94                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        80                   0                   
     0.20%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq     [kernel.kallsyms]        [k] 0xffffd3a8401abd08                           [kernel.kallsyms]  None          L1 or L2 hit            No       Addr       80                   0                   
     0.20%             1  5             L1 hit                                   [k] __update_load_avg_se         [kernel.kallsyms]        [k] 0xffff8c3bc790f0d0                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        213                  0                   
     0.20%             1  5             L1 hit                                   [k] __update_load_avg_se         [kernel.kallsyms]        [k] 0xffff8c3d4f3f4e88                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        50                   0                   
     0.20%             1  5             L1 hit                                   [k] __update_load_avg_se         [kernel.kallsyms]        [k] 0xffffd3a8401abcf0                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        246                  0                   
     0.20%             1  5             L1 hit                                   [k] ct_kernel_enter.isra.0       [kernel.kallsyms]        [k] 0xffff8c3f0f330ba8                           [kernel.kallsyms]  None          L1 or L2 hit            No       Data       80                   0                   
     0.20%             1  5             L1 hit                                   [k] ct_kernel_exit_state         [kernel.kallsyms]        [k] 0xffff8c3f0f330ba8                           [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        52                   0                   
