# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 813  of event 'cpu_core/mem-loads-aux/'
# Total weight : 817
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..............................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     1.35%             1  879           RAM hit                                  [.] 0x00007fcecfd4e304                 [JIT] tid 7297           [.] 0x00007fcea8f45208         anon                 Hit           L1 or L2 hit            No       Addr       881                  0                   
     0.93%             1  606           LFB/MAB hit                              [.] helper_lookup_tb_ptr               qemu-system-aarch64      [.] 0x00007fced4cc2d20         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        616                  0                   
     0.54%             1  350           LFB/MAB hit                              [k] _raw_spin_lock                     [kernel.kallsyms]        [k] 0xffff8c3f0f225e40         [kernel.kallsyms]    None          L1 or L2 hit            Yes      N/A        352                  0                   
     0.53%             1  347           LFB/MAB hit                              [k] pick_task_fair                     [kernel.kallsyms]        [k] 0xffff8c3c263d9a91         [kernel.kallsyms]    None          L1 or L2 hit            No       N/A        349                  0                   
     0.50%             1  328           RAM hit                                  [.] 0x00007fced1fe3f0c                 [JIT] tid 7297           [.] 0x00007fce2c89cb90         anon                 Hit           L1 or L2 hit            No       N/A        330                  0                   
     0.50%             1  325           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2b0a244         anon                 Hit           L1 or L2 hit            No       N/A        334                  0                   
     0.47%             1  306           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3e71a04         anon                 None          L1 or L2 hit            No       N/A        309                  0                   
     0.44%             1  284           LFB/MAB hit                              [.] helper_lookup_tb_ptr               qemu-system-aarch64      [.] 0x00007fcece4a3654         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        286                  0                   
     0.43%             1  280           LFB/MAB hit                              [.] 0x00007fcece441b10                 [JIT] tid 7297           [.] 0x00007fce2c0a6c38         anon                 None          L1 or L2 hit            No       N/A        282                  0                   
     0.43%             1  279           LFB/MAB hit                              [.] 0x0000000000c70d4c                 qemu-system-aarch64      [.] 0x00007fcea8f5c090         anon                 None          L1 or L2 hit            No       N/A        288                  0                   
     0.43%             1  277           RAM hit                                  [.] 0x00007fced7434a19                 [JIT] tid 7297           [.] 0x00007fce32b51970         anon                 Hit           L1 or L2 hit            No       N/A        286                  0                   
     0.42%             1  275           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3dea5c4         anon                 Hit           L1 or L2 hit            No       N/A        277                  0                   
     0.41%             1  266           RAM hit                                  [.] 0x0000000000095c64                 libglib-2.0.so.0.8400.4  [.] 0x00007fce1f49e5b0         anon                 Hit           L1 or L2 hit            No       N/A        268                  0                   
     0.41%             1  264           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3722a18         anon                 Hit           L1 or L2 hit            No       N/A        266                  0                   
     0.40%             1  262           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf394b844         anon                 None          L1 or L2 hit            No       N/A        271                  0                   
     0.40%             1  262           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3dd2bc4         anon                 None          L1 or L2 hit            No       Addr       264                  0                   
     0.40%             1  262           RAM hit                                  [.] helper_access_check_cp_reg         qemu-system-aarch64      [.] 0x00005651d93a5fd0         [heap]               Hit           L1 or L2 hit            No       N/A        264                  0                   
     0.40%             1  262           RAM hit                                  [.] 0x0000000000c7077a                 qemu-system-aarch64      [.] 0x00007fce30be9c04         anon                 Hit           L1 or L2 hit            No       N/A        271                  0                   
     0.40%             1  257           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdd4df4598         anon                 None          L1 or L2 hit            No       N/A        273                  0                   
     0.40%             1  257           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2a7d8c4         anon                 None          L1 or L2 hit            No       N/A        273                  0                   
     0.39%             1  256           RAM hit                                  [.] 0x00007fced6f0fb0d                 [JIT] tid 7297           [.] 0x00007fce302f63c8         anon                 Hit           L1 or L2 hit            No       N/A        258                  0                   
     0.39%             1  254           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf33f9788         anon                 None          L1 or L2 hit            No       Addr       270                  0                   
     0.39%             1  254           LFB/MAB hit                              [.] 0x0000000000c66dac                 qemu-system-aarch64      [.] 0x00007fced556de54         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        257                  0                   
     0.39%             1  254           RAM hit                                  [.] 0x00007fced75cb78e                 [JIT] tid 7297           [.] 0x00007fced75cb7c8         [JIT] tid 7297       Hit           L1 or L2 hit            No       N/A        256                  0                   
     0.38%             1  249           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf250ef18         anon                 None          L1 or L2 hit            No       N/A        258                  0                   
     0.38%             1  246           LFB/MAB hit                              [.] 0x0000000000c66d9e                 qemu-system-aarch64      [.] 0x00007fcecfc116c8         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        249                  0                   
     0.38%             1  246           LFB/MAB hit                              [.] 0x0000000000c9762e                 qemu-system-aarch64      [.] 0x00007fced2ba49e8         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        255                  0                   
     0.38%             1  245           LFB/MAB hit                              [.] helper_lookup_tb_ptr               qemu-system-aarch64      [.] 0x00007fcece87e814         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        254                  0                   
     0.37%             1  243           LFB/MAB hit                              [.] 0x0000000000c66db5                 qemu-system-aarch64      [.] 0x00007fced39cd0c8         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        245                  0                   
     0.37%            48  5             L1 hit                                   [.] 0x00007fcee3572088                 [JIT] tid 7297           [.] 0x00007fce42aaff28         anon                 None          L1 or L2 hit            No       N/A        64                   0                   
     0.37%             1  239           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2538fe8         anon                 None          L1 or L2 hit            No       N/A        248                  0                   
     0.37%             1  238           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf21f3a58         anon                 Hit           L1 or L2 hit            No       N/A        240                  0                   
     0.36%             1  237           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3a52e98         anon                 None          L1 or L2 hit            No       N/A        253                  0                   
     0.36%             1  236           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2413888         anon                 None          L1 or L2 hit            No       N/A        252                  0                   
     0.36%             1  236           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3c7b408         anon                 None          L1 or L2 hit            No       Addr       245                  0                   
     0.36%             1  235           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2ff810c         anon                 None          L1 or L2 hit            No       N/A        244                  0                   
     0.36%             1  234           LFB/MAB hit                              [.] 0x0000000000c9762e                 qemu-system-aarch64      [.] 0x00007fced22b3fe8         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        236                  0                   
     0.36%             1  234           LFB/MAB hit                              [.] 0x0000000000c9762b                 qemu-system-aarch64      [.] 0x00007fced2515620         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        236                  0                   
     0.36%             1  233           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf25edd4c         anon                 None          L1 or L2 hit            No       N/A        250                  0                   
     0.36%             1  233           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2392008         anon                 Hit           L1 or L2 hit            No       N/A        235                  0                   
     0.36%             1  232           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf343d9c4         anon                 None          L1 or L2 hit            No       N/A        234                  0                   
     0.35%             1  230           LFB/MAB hit                              [.] helper_lookup_tb_ptr               qemu-system-aarch64      [.] 0x00007fcece47e354         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        232                  0                   
     0.35%             1  230           RAM hit                                  [.] 0x00007fced74d2b92                 [JIT] tid 7297           [.] 0x00007fce329f5ce4         anon                 Hit           L1 or L2 hit            No       N/A        232                  0                   
     0.35%             1  230           RAM hit                                  [.] 0x00007fcecfb578b4                 [JIT] tid 7297           [.] 0x00007fcecfb57a60         [JIT] tid 7297       Hit           L1 or L2 hit            No       N/A        232                  0                   
     0.35%             1  230           RAM hit                                  [.] 0x000000000094cefb                 qemu-system-aarch64      [.] 0x00007fcea0b2bef0         anon                 Hit           L1 or L2 hit            No       N/A        232                  0                   
     0.35%             1  229           RAM hit                                  [.] 0x00007fceda3e3799                 [JIT] tid 7297           [.] 0x00007fce320bdf50         anon                 Hit           L1 or L2 hit            No       N/A        238                  0                   
     0.35%             1  228           RAM hit                                  [.] 0x0000000000095c64                 libglib-2.0.so.0.8400.4  [.] 0x00007fce1f4beaa0         anon                 Hit           L1 or L2 hit            No       N/A        230                  0                   
     0.35%             1  227           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2edcd98         anon                 None          L1 or L2 hit            No       N/A        229                  0                   
     0.35%             1  226           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2e51b50         anon                 None          L1 or L2 hit            No       N/A        242                  0                   
     0.35%             1  226           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf35a9c04         anon                 None          L1 or L2 hit            No       N/A        228                  0                   
     0.35%             1  226           RAM hit                                  [.] g_main_context_query@plt           qemu-system-aarch64      [.] 0x00005651a4be2d38         qemu-system-aarch64  Hit           L1 or L2 hit            No       N/A        228                  0                   
     0.35%             1  226           RAM hit                                  [.] 0x00007fced227d548                 [JIT] tid 7297           [.] 0x00007fce32914fb8         anon                 Hit           L1 or L2 hit            No       N/A        228                  0                   
     0.35%             1  226           RAM hit                                  [.] 0x00007fceda29b2d9                 [JIT] tid 7297           [.] 0x00007fce349b2ec0         anon                 Hit           L1 or L2 hit            No       N/A        235                  0                   
     0.35%             1  225           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2125344         anon                 None          L1 or L2 hit            No       N/A        227                  0                   
     0.35%             1  225           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf28208c4         anon                 None          L1 or L2 hit            No       N/A        227                  0                   
     0.35%             1  225           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2d0c444         anon                 None          L1 or L2 hit            No       N/A        228                  0                   
     0.35%             1  225           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf31f2258         anon                 None          L1 or L2 hit            No       N/A        234                  0                   
     0.35%             1  225           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf314a484         anon                 Hit           L1 or L2 hit            No       N/A        227                  0                   
     0.35%             1  225           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3fced84         anon                 Hit           L1 or L2 hit            No       N/A        227                  0                   
     0.34%             1  224           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3940bc4         anon                 None          L1 or L2 hit            No       Addr       226                  0                   
     0.34%             1  224           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3e09fc4         anon                 None          L1 or L2 hit            No       N/A        226                  0                   
     0.34%             1  224           RAM hit                                  [.] 0x00007fced234e97f                 [JIT] tid 7297           [.] 0x00007fce386bbe80         anon                 Hit           L1 or L2 hit            No       N/A        233                  0                   
     0.34%             1  223           RAM hit                                  [.] 0x000000000094cefb                 qemu-system-aarch64      [.] 0x00007fceabbea398         anon                 Hit           L1 or L2 hit            No       N/A        232                  0                   
     0.34%             1  222           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf29aef84         anon                 None          L1 or L2 hit            No       N/A        231                  0                   
     0.34%             1  222           LFB/MAB hit                              [.] 0x0000000000c66da7                 qemu-system-aarch64      [.] 0x00007fcecfc6d410         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        224                  0                   
     0.34%             1  222           RAM hit                                  [.] 0x00007fcee35720be                 [JIT] tid 7297           [.] 0x00007fce4992e9d0         anon                 Hit           L1 or L2 hit            No       N/A        224                  0                   
     0.34%             1  221           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf260ec44         anon                 None          L1 or L2 hit            No       N/A        237                  0                   
     0.34%             1  221           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2e43384         anon                 None          L1 or L2 hit            No       N/A        230                  0                   
     0.34%             1  221           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf305a204         anon                 None          L1 or L2 hit            No       N/A        237                  0                   
     0.34%             1  221           RAM hit                                  [.] 0x0000000000c66d90                 qemu-system-aarch64      [.] 0x00007fcece858200         [JIT] tid 7297       Hit           L1 or L2 hit            No       N/A        223                  0                   
     0.34%             1  220           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdd4dbccd8         anon                 None          L1 or L2 hit            No       N/A        236                  0                   
     0.34%             1  220           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf310a1d8         anon                 None          L1 or L2 hit            No       N/A        236                  0                   
     0.34%             1  220           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf376e1d8         anon                 None          L1 or L2 hit            No       N/A        222                  0                   
     0.34%             1  220           LFB/MAB hit                              [.] 0x0000000000c66da7                 qemu-system-aarch64      [.] 0x00007fcecf702e90         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        236                  0                   
     0.34%             1  220           LFB/MAB hit                              [.] 0x0000000000c66da7                 qemu-system-aarch64      [.] 0x00007fced23b42d0         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        222                  0                   
     0.34%             1  220           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf29f20c8         anon                 Hit           L1 or L2 hit            No       N/A        229                  0                   
     0.34%             1  219           LFB/MAB hit                              [.] helper_lookup_tb_ptr               qemu-system-aarch64      [.] 0x00007fcecfa59554         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        221                  0                   
     0.34%             1  219           LFB/MAB hit                              [.] 0x0000000000c66dac                 qemu-system-aarch64      [.] 0x00007fcecf8ac854         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        221                  0                   
     0.34%             1  219           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3cd0584         anon                 Hit           L1 or L2 hit            No       N/A        228                  0                   
     0.34%             1  218           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf30acf88         anon                 None          L1 or L2 hit            No       N/A        220                  0                   
     0.34%             1  218           RAM hit                                  [.] 0x00007fced212cafd                 [JIT] tid 7297           [.] 0x00007fce49b40cf0         anon                 Hit           L1 or L2 hit            No       N/A        220                  0                   
     0.33%             1  217           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3549b04         anon                 None          L1 or L2 hit            No       N/A        226                  0                   
     0.33%             1  217           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3b08444         anon                 None          L1 or L2 hit            No       N/A        233                  0                   
     0.33%             1  217           LFB/MAB hit                              [.] 0x0000000000c66d74                 qemu-system-aarch64      [.] 0x00007fced3fa9f14         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        233                  0                   
     0.33%             1  217           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf39566c4         anon                 Hit           L1 or L2 hit            No       N/A        226                  0                   
     0.33%             1  216           LFB/MAB hit                              [.] helper_lookup_tb_ptr               qemu-system-aarch64      [.] 0x00007fcece8c2de0         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        218                  0                   
     0.33%             1  216           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2601804         anon                 None          L1 or L2 hit            No       N/A        218                  0                   
     0.33%             1  216           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2d1e808         anon                 None          L1 or L2 hit            No       N/A        218                  0                   
     0.33%             1  216           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdd494b688         anon                 Hit           L2 miss                 No       N/A        468                  0                   
     0.33%             1  216           RAM hit                                  [.] 0x00007fcee2f79203                 [JIT] tid 7297           [.] 0x00007fce402082e0         anon                 Hit           L1 or L2 hit            No       Addr       218                  0                   
     0.33%             1  215           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf241adc8         anon                 None          L1 or L2 hit            No       N/A        217                  0                   
     0.33%             1  215           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2fe7dc8         anon                 None          L1 or L2 hit            No       N/A        231                  0                   
     0.33%             1  214           RAM hit                                  [.] 0x00007fcee35720be                 [JIT] tid 7297           [.] 0x00007fce48fea0d0         anon                 Hit           L1 or L2 hit            No       N/A        223                  0                   
     0.33%             1  213           LFB/MAB hit                              [.] helper_lookup_tb_ptr               qemu-system-aarch64      [.] 0x00007fcecfdcb560         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        215                  0                   
     0.33%             1  213           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2577ac4         anon                 None          L1 or L2 hit            No       N/A        229                  0                   
     0.33%             1  212           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2ee1988         anon                 None          L1 or L2 hit            No       N/A        214                  0                   
     0.32%             1  211           LFB/MAB hit                              [.] helper_lookup_tb_ptr               qemu-system-aarch64      [.] 0x00007fcece7832d4         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        214                  0                   
     0.32%             1  211           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2183f48         anon                 None          L1 or L2 hit            No       N/A        227                  0                   
     0.32%             1  211           LFB/MAB hit                              [.] 0x0000000000c66d9e                 qemu-system-aarch64      [.] 0x00007fcece42f748         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        213                  0                   
     0.32%             1  210           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf39a0584         anon                 None          L1 or L2 hit            No       N/A        212                  0                   
     0.32%             1  209           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf33132c4         anon                 None          L1 or L2 hit            No       N/A        211                  0                   
     0.32%             1  209           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf266eb8c         anon                 Hit           L1 or L2 hit            No       N/A        218                  0                   
     0.32%             1  209           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2803dc4         anon                 Hit           L1 or L2 hit            No       N/A        211                  0                   
     0.32%             1  209           RAM hit                                  [.] 0x00007fcee3461518                 [JIT] tid 7297           [.] 0x00007fce3ac50ea8         anon                 Hit           L1 or L2 hit            No       N/A        218                  0                   
     0.32%             1  209           RAM hit                                  [.] 0x0000000000c9762e                 qemu-system-aarch64      [.] 0x00007fced2150028         [JIT] tid 7297       Hit           L1 or L2 hit            No       N/A        211                  0                   
     0.32%             1  208           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2548c04         anon                 None          L1 or L2 hit            No       N/A        210                  0                   
     0.32%             1  207           LFB/MAB hit                              [.] 0x0000000000c66da7                 qemu-system-aarch64      [.] 0x00007fcece66dbd0         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        209                  0                   
     0.32%             1  207           RAM hit                                  [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf28710c4         anon                 Hit           L1 or L2 hit            No       N/A        223                  0                   
     0.32%             1  207           RAM hit                                  [.] 0x0000000000c6fe93                 qemu-system-aarch64      [.] 0x00007fcdd4f02618         anon                 Hit           L1 or L2 hit            No       N/A        209                  0                   
     0.32%             1  206           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf297f808         anon                 None          L1 or L2 hit            No       N/A        208                  0                   
     0.32%             1  206           LFB/MAB hit                              [.] 0x0000000000c66da7                 qemu-system-aarch64      [.] 0x00007fced2ef7b50         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        215                  0                   
     0.31%             1  201           LFB/MAB hit                              [.] 0x00007fcecfbb2e74                 [JIT] tid 7297           [.] 0x00007fce2d4c4530         anon                 None          L1 or L2 hit            No       N/A        204                  0                   
     0.31%             1  200           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2f1eec8         anon                 None          L1 or L2 hit            No       N/A        216                  0                   
     0.31%             1  200           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3515184         anon                 None          L1 or L2 hit            No       N/A        202                  0                   
     0.30%             1  194           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2afcf44         anon                 None          L1 or L2 hit            No       N/A        196                  0                   
     0.29%             1  189           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf2f98504         anon                 None          L1 or L2 hit            No       N/A        205                  0                   
     0.29%             1  189           L3 hit                                   [k] __radix_tree_lookup                [kernel.kallsyms]        [k] 0xffff8c3bc0401d08         [kernel.kallsyms]    Hit           L1 or L2 hit            No       N/A        191                  0                   
     0.28%             1  184           LFB/MAB hit                              [.] 0x00007fcece40d50d                 [JIT] tid 7297           [.] 0x00007fceab8133c0         anon                 None          L1 or L2 hit            No       N/A        186                  0                   
     0.27%             1  177           LFB/MAB hit                              [.] 0x00007fced21613bf                 [JIT] tid 7297           [.] 0x00007fce3a07f97b         anon                 None          L1 or L2 hit            No       N/A        179                  0                   
     0.26%             1  167           LFB/MAB hit                              [.] 0x00007fced2105702                 [JIT] tid 7297           [.] 0x00007fce9e8007bc         anon                 None          L1 or L2 hit            No       N/A        169                  0                   
     0.25%            32  5             L1 hit                                   [.] 0x00007fcee3572088                 [JIT] tid 7297           [.] 0x00007fce42aaff28         anon                 None          L1 or L2 hit            No       N/A        57                   0                   
     0.23%             1  152           L3 hit                                   [k] psi_task_switch                    [kernel.kallsyms]        [k] 0xffff8c3c0dc1eb88         [kernel.kallsyms]    None          L1 or L2 hit            No       N/A        162                  0                   
     0.21%             1  139           LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf32c0688         anon                 None          L1 or L2 hit            No       N/A        141                  0                   
     0.21%             1  135           L2 hit                                   [.] 0x00007fcece8bd5b7                 [JIT] tid 7297           [.] 0x00007fcece8bd800         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        137                  0                   
     0.19%             1  121           LFB/MAB hit                              [.] 0x00007fced0705543                 [JIT] tid 7297           [.] 0x00007fcea8c39c40         anon                 None          L1 or L2 hit            No       N/A        123                  0                   
     0.18%             1  117           L2 hit                                   [.] g_hash_table_lookup                libglib-2.0.so.0.8400.4  [.] 0x00005651d9398d84         [heap]               None          L1 or L2 hit            No       N/A        119                  0                   
     0.18%             1  115           LFB/MAB hit                              [.] 0x000000000011aae0                 libc.so.6                [.] 0x00005651d9311a80         [heap]               None          L1 or L2 hit            No       N/A        119                  0                   
     0.17%             1  113           LFB/MAB hit                              [.] pthread_mutex_lock                 libc.so.6                [.] 0x00005651d92dbec0         [heap]               None          L1 or L2 hit            Yes      N/A        115                  0                   
     0.15%             1  96            RAM hit                                  [k] update_process_times               [kernel.kallsyms]        [k] 0xffff8c3f0f3a26d8         [kernel.kallsyms]    Hit           L2 miss                 No       N/A        119                  0                   
     0.15%             1  95            LFB/MAB hit                              [.] helper_lookup_tb_ptr               qemu-system-aarch64      [.] 0x00007fcece7bd260         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        104                  0                   
     0.15%            19  5             L1 hit                                   [.] 0x00007fcee3572088                 [JIT] tid 7297           [.] 0x00007fce42aaff28         anon                 None          L1 or L2 hit            No       N/A        62                   0                   
     0.14%             1  92            LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf35383cc         anon                 None          L1 or L2 hit            No       N/A        101                  0                   
     0.14%             1  92            L2 hit                                   [.] 0x00007fcece678513                 [JIT] tid 7297           [.] 0x00007fcece678890         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        94                   0                   
     0.14%            18  5             L1 hit                                   [.] 0x00007fcee3572088                 [JIT] tid 7297           [.] 0x00007fce42aaff28         anon                 None          L1 or L2 hit            No       N/A        61                   0                   
     0.14%            18  5             L1 hit                                   [.] 0x00007fcee3572088                 [JIT] tid 7297           [.] 0x00007fce42aaff28         anon                 None          L1 or L2 hit            No       N/A        56                   0                   
     0.13%             1  87            RAM hit                                  [k] hrtimer_interrupt                  [kernel.kallsyms]        [k] 0xffff8c3f0f3a5e50         [kernel.kallsyms]    Hit           L2 miss                 No       N/A        108                  0                   
     0.13%             1  86            L2 hit                                   [.] 0x00007fced2e5d3d3                 [JIT] tid 7297           [.] 0x00007fced2e5d7f8         [JIT] tid 7297       None          L1 or L2 hit            No       N/A        88                   0                   
     0.13%             1  85            LFB/MAB hit                              [k] fdget                              [kernel.kallsyms]        [k] 0xffff8c3c3b7dbd80         [kernel.kallsyms]    None          L1 or L2 hit            No       N/A        88                   0                   
     0.13%             1  85            LFB/MAB hit                              [.] qht_lookup_custom                  qemu-system-aarch64      [.] 0x00007fcdf3314c58         anon                 None          L1 or L2 hit            No       N/A        101                  0                   
     0.13%             1  85            L3 hit                                   [.] 0x00007fcece412b1e                 [JIT] tid 7297           [.] 0x00007fcdd4eecd78         anon                 None          L1 or L2 hit            No       N/A        87                   0                   
     0.13%            17  5             L1 hit                                   [.] 0x00007fcee3572088                 [JIT] tid 7297           [.] 0x00007fce42aaff28         anon                 None          L1 or L2 hit            No       N/A        71                   0                   
     0.13%            17  5             L1 hit                                   [.] 0x00007fcee3572088                 [JIT] tid 7297           [.] 0x00007fce42aaff28         anon                 None          L1 or L2 hit            No       N/A        70                   0                   
     0.13%             1  83            LFB/MAB hit                              [k] free_unref_page_commit             [kernel.kallsyms]        [k] 0xffff8c3f0f3bc5dc         [kernel.kallsyms]    None          L1 or L2 hit            No       N/A        99                   0                   
     0.13%             1  83            LFB/MAB hit                              [k] tick_nohz_dep_clear_cpu            [kernel.kallsyms]        [k] 0xffff8c3f0f3a64d8         [kernel.kallsyms]    None          L1 or L2 hit            Yes      N/A        99                   0                   
