# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 802  of event 'cpu_core/mem-loads-aux/'
# Total weight : 810
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.49%             4  0             N/A                                      [.] 0x00007fcee31c9789                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.49%             4  0             N/A                                      [.] 0x000000000094b1b9                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.49%             4  0             N/A                                      [.] 0x000000000094b2a5                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.49%             4  0             N/A                                      [.] 0x000000000094cfc6                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.49%             4  0             N/A                                      [.] 0x000000000094d040                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.49%             4  0             N/A                                      [.] 0x000000000094d068                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.49%             4  0             N/A                                      [.] 0x000000000094d08b                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.49%             4  0             N/A                                      [.] 0x000000000094e835                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.49%             4  0             N/A                                      [.] 0x000000000094f5c2                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [k] __switch_to                         [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x00007fced21e4214                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x00007fced22a0cfe                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x00007fced4d2943c                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x00007fcee31c9770                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x00007fcee31c97c0                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094a701                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094b046                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094b069                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094b071                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094b07c                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094b0ca                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094b130                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094b27f                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094b316                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094b40f                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094cefb                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
