# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 650  of event 'cpu_core/mem-loads-aux/'
# Total weight : 650
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                        Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ............................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.46%             3  0             N/A                                      [.] 0x000000000094d0f0        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.46%             3  0             N/A                                      [.] 0x000000000094d1e9        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.46%             3  0             N/A                                      [.] 0x000000000094e84b        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.46%             3  0             N/A                                      [.] 0x000000000094f4e7        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] cpu_exec_end              qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [k] ct_kernel_enter.isra.0    [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] helper_gvec_uminp_b       qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x00007fced3287445        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x00007fced4d29297        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x00007fcee31c974b        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x00007fcee31c9770        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x00007fcee31c979e        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x00007fcee31c97c0        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x00007fcee31c97c8        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x00007fcee31c9831        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x00007fcee31c9c97        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094b046        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094b0d7        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094b100        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094b130        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094b1bf        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094b426        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094c8b5        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094cefb        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094cf6b        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094cf7b        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094cfc6        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094cfda        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094d024        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094d04b        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094d068        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094d0be        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094d0ce        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094d152        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094d1fe        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094d5cc        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094d5dd        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094e869        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094e887        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094e8a8        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094e95b        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094f48e        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x000000000094f498        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x0000000000c6736f        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.31%             2  0             N/A                                      [.] 0x0000000000c6fca8        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [k] __filemap_get_folio       [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [k] __switch_to               [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] aio_notify                qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [k] ct_kernel_exit_state      [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [k] futex_wait_queue          [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] g_array_append_vals       libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] g_array_append_vals@plt   qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] helper_simd_tblx          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] pthread_cond_signal       libc.so.6                [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] qht_lookup_custom         qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] slirp_pollfds_fill        libslirp.so.0.4.0        [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [k] sync_regs                 [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [k] tty_ldisc_ref_wait        [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced211935f        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced21e4214        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced22116c8        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced2211740        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced221d8c0        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced2222003        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced226e841        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced226e9e6        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced226e9f6        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced22a0ce9        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced22a1140        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced22c5354        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced2377e6b        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced2377e77        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced4d28df2        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced4d2929f        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced4d29444        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced4d29d7f        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced7b0979d        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced7b09aa6        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced7b0ad87        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced7b0b6bb        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced7b17d0c        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fced7b1844e        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2ab918f        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2c7c73e        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d7d3a0        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d7d7d8        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d7db5d        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d7f58f        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d7f5cb        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d7fc97        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d80097        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d80e20        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d8c751        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d8c93f        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d8cb71        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee2d8cc8a        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee314432f        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee314e1e7        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
