# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 628  of event 'cpu_core/mem-loads-aux/'
# Total weight : 644
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    13.82%            89  0             N/A                                      [k] native_write_msr                 [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     6.52%            42  0             N/A                                      [.] cpu_get_tb_cpu_state             qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     4.50%            29  0             N/A                                      [.] 0x00007fcee31c97b0               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     3.73%            24  0             N/A                                      [.] arm_cpu_tlb_fill_align           qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.86%            12  0             N/A                                      [.] 0x0000000000c673a2               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.40%             9  0             N/A                                      [.] arm_hcr_el2_eff_secstate         qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.40%             9  0             N/A                                      [.] get_phys_addr                    qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.24%             8  0             N/A                                      [.] helper_gvec_umaxp_b              qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.24%             8  0             N/A                                      [.] 0x00007fcee314432f               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.09%             7  0             N/A                                      [.] helper_lookup_tb_ptr             qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.93%             6  0             N/A                                      [.] 0x00007fcee314e1ef               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.93%             6  0             N/A                                      [.] 0x00007fcee31c9770               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.93%             6  0             N/A                                      [.] 0x00007fcee31c97c0               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.93%             6  0             N/A                                      [.] 0x000000000094cf8a               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.93%             6  0             N/A                                      [.] 0x000000000094d057               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.78%             1  5             N/A                                      [.] arm_cpu_tlb_fill_align           qemu-system-aarch64      [.] 0x00007fcef20b1ce0  anon              N/A           N/A                     N/A      N/A        34                   0                   
     0.78%             1  5             N/A                                      [.] 0x00007fced5844769               [JIT] tid 7297           [.] 0x00005651d9315710  [heap]            N/A           N/A                     N/A      N/A        198                  0                   
     0.78%             1  5             N/A                                      [.] 0x00007fcee31c97b0               [JIT] tid 7297           [.] 0x00005651d9317010  [heap]            N/A           N/A                     N/A      N/A        238                  0                   
     0.78%             1  5             N/A                                      [.] 0x000000000009776a               libc.so.6                [.] 0x00005651a4d2c980  anon              N/A           N/A                     N/A      N/A        147                  0                   
     0.78%             5  0             N/A                                      [k] ct_kernel_enter.isra.0           [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.78%             5  0             N/A                                      [.] 0x000000000094b130               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.78%             5  0             N/A                                      [.] 0x000000000094b292               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.78%             5  0             N/A                                      [.] 0x000000000094cf7b               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.78%             5  0             N/A                                      [.] 0x000000000094f4aa               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.78%             5  0             N/A                                      [.] 0x0000000000c67390               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] curr_cflags                      qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x00007fcee31c9789               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094a6d6               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094b046               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094b04d               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094b0b8               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094b426               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094cf18               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094cf42               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094cf6b               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094cfa4               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094d024               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094d0be               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094d1db               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094e887               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             4  0             N/A                                      [.] 0x000000000094f4ae               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.47%             3  0             N/A                                      [.] 0x00007fced21e4214               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.47%             3  0             N/A                                      [.] 0x00007fced4d29444               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.47%             3  0             N/A                                      [.] 0x00007fcee31c974b               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.47%             3  0             N/A                                      [.] 0x00007fcee31c9c6a               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.47%             3  0             N/A                                      [.] 0x00007fcee31c9c7f               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.47%             3  0             N/A                                      [.] 0x000000000094b07c               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.47%             3  0             N/A                                      [.] 0x000000000094b40f               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.47%             3  0             N/A                                      [.] 0x000000000094cf98               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.47%             3  0             N/A                                      [.] 0x000000000094d003               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.47%             3  0             N/A                                      [.] 0x000000000094d006               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
