# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu_core/mem-loads-aux/'
# Total weight : 4832
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.25%            12  0             N/A                                      [.] 0x000000000094d003                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%            12  0             N/A                                      [.] 0x000000000094d1fe                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%            12  0             N/A                                      [.] 0x0000000000950021                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.21%            10  0             N/A                                      [.] 0x00007fcee314e1ef                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.21%            10  0             N/A                                      [.] 0x000000000094d1db                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             8  0             N/A                                      [.] 0x000000000094cfa4                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             8  0             N/A                                      [.] 0x000000000094cff4                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             8  0             N/A                                      [.] 0x000000000094d1e9                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             7  0             N/A                                      [.] helper_gvec_umaxp_b                 qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             7  0             N/A                                      [.] helper_lookup_tb_ptr                qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             7  0             N/A                                      [.] 0x000000000094cfe7                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             7  0             N/A                                      [.] 0x000000000094d1c6                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             6  0             N/A                                      [k] __switch_to                         [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             6  0             N/A                                      [k] mpage_prepare_extent_to_map         [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             6  0             N/A                                      [.] 0x00007fced4d29297                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             6  0             N/A                                      [.] 0x000000000094b069                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             6  0             N/A                                      [.] 0x000000000094d057                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             6  0             N/A                                      [.] 0x000000000094e87f                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             6  0             N/A                                      [.] 0x0000000000c67390                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             1  5             N/A                                      [k] ct_kernel_enter.isra.0              [kernel.kallsyms]        [k] 0xffff8c3f0f3b0ba8  [kernel.kallsyms]  N/A           N/A                     N/A      N/A        73                   0                   
     0.10%             5  0             N/A                                      [.] cpu_exec_start                      qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             5  0             N/A                                      [k] ct_nmi_enter                        [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             5  0             N/A                                      [.] 0x00007fcee31c9c4d                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             5  0             N/A                                      [.] 0x000000000005c498                  libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             5  0             N/A                                      [.] 0x000000000094b163                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             5  0             N/A                                      [.] 0x000000000094b2a5                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             5  0             N/A                                      [.] 0x000000000094b40f                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             5  0             N/A                                      [.] 0x000000000094cfb8                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             5  0             N/A                                      [.] 0x000000000094cfc6                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             5  0             N/A                                      [.] 0x000000000094cfda                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             5  0             N/A                                      [.] 0x000000000094d04b                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.10%             5  0             N/A                                      [.] 0x000000000094d079                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.08%             4  0             N/A                                      [k] ct_kernel_enter.isra.0              [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.08%             4  0             N/A                                      [.] 0x00007fcee31c9733                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.08%             4  0             N/A                                      [.] 0x00007fcee31c979e                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.08%             4  0             N/A                                      [.] 0x00007fcee31c97c8                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.08%             4  0             N/A                                      [.] 0x000000000094b071                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.08%             4  0             N/A                                      [.] 0x000000000094d0f0                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.08%             4  0             N/A                                      [.] 0x000000000094e835                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.08%             4  0             N/A                                      [.] 0x000000000094ffff                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             3  0             N/A                                      [.] assert_hflags_rebuild_correctly     qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             3  0             N/A                                      [k] n_tty_poll                          [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             3  0             N/A                                      [.] 0x00007fced7b182f1                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             3  0             N/A                                      [.] 0x00007fcee31c9770                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             3  0             N/A                                      [.] 0x00007fcee31c97c0                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             3  0             N/A                                      [.] 0x00007fcee31c9c6a                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             3  0             N/A                                      [.] 0x000000000094b0ad                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
