# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu_core/mem-loads-aux/'
# Total weight : 3470
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.46%            16  0             N/A                                      [.] get_phys_addr                    qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.46%            16  0             N/A                                      [.] 0x000000000094cf8a               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.46%            16  0             N/A                                      [.] 0x0000000000c67390               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.43%            15  0             N/A                                      [.] 0x000000000094d057               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.40%            14  0             N/A                                      [.] 0x000000000094d1db               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.29%             2  5             N/A                                      [k] ct_nmi_enter                     [kernel.kallsyms]        [k] 0xffff8c3f0f3b0ba8  [kernel.kallsyms]  N/A           N/A                     N/A      N/A        40                   0                   
     0.29%            10  0             N/A                                      [k] __switch_to                      [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.26%             9  0             N/A                                      [.] helper_gvec_umaxp_b              qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.26%             9  0             N/A                                      [.] 0x00000000009500dd               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.23%             8  0             N/A                                      [.] helper_lookup_tb_ptr             qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.23%             8  0             N/A                                      [.] 0x000000000094cfa4               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             7  0             N/A                                      [k] lru_add                          [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             7  0             N/A                                      [.] 0x00007fcee314432f               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             7  0             N/A                                      [.] 0x000000000094d003               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             7  0             N/A                                      [.] 0x000000000094d040               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             7  0             N/A                                      [.] 0x0000000000c672a2               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             6  0             N/A                                      [.] cpu_exec_end                     qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             6  0             N/A                                      [.] helper_simd_tblx                 qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             6  0             N/A                                      [.] 0x000000000094b069               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             6  0             N/A                                      [.] 0x000000000094cff4               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             6  0             N/A                                      [.] 0x000000000094d1c6               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             6  0             N/A                                      [.] 0x000000000094e87f               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  5             N/A                                      [k] ct_kernel_enter.isra.0           [kernel.kallsyms]        [k] 0xffff8c3f0f3b0ba8  [kernel.kallsyms]  N/A           N/A                     N/A      N/A        63                   0                   
     0.14%             1  5             N/A                                      [k] ct_nmi_enter                     [kernel.kallsyms]        [k] 0xffff8c3f0f3b0ba8  [kernel.kallsyms]  N/A           N/A                     N/A      N/A        39                   0                   
     0.14%             5  0             N/A                                      [k] __radix_tree_lookup              [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] helper_gvec_uminp_b              qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [k] switch_mm_irqs_off               [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] 0x00007fcee31c9770               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] 0x00007fcee31c97c0               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] 0x000000000094a786               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] 0x000000000094b113               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] 0x000000000094b116               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] 0x000000000094d024               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] 0x000000000094d068               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] 0x000000000094d0ce               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] 0x000000000094d0f0               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] 0x000000000094e835               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             5  0             N/A                                      [.] 0x000000000094e869               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [k] __lruvec_stat_mod_folio          [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] slirp_pollfds_fill               libslirp.so.0.4.0        [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x00007fcee314e1ef               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x00007fcee31c9c21               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094a6d6               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094b04d               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094b0b8               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094b0ca               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094b316               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094b416               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094cfb8               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094cfc6               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094cfe7               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094f4aa               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094f4d0               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094f4f6               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x000000000094f4fd               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             4  0             N/A                                      [.] 0x0000000000950021               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.09%             3  0             N/A                                      [k] ct_kernel_exit_state             [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.09%             3  0             N/A                                      [.] g_hash_table_lookup              libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.09%             3  0             N/A                                      [k] lru_gen_add_folio                [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.09%             3  0             N/A                                      [k] tty_poll                         [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.09%             3  0             N/A                                      [.] 0x00007fced4d29297               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
