# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu_core/mem-loads-aux/'
# Total weight : 1471
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.54%             8  0             N/A                                      [.] 0x0000000000950067               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.48%             7  0             N/A                                      [.] 0x0000000000950021               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.48%             7  0             N/A                                      [.] 0x000000000095004b               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.41%             6  0             N/A                                      [.] helper_gvec_uminp_b              qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.41%             6  0             N/A                                      [.] 0x000000000094b1bf               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.41%             6  0             N/A                                      [.] 0x000000000094e84b               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.34%             5  0             N/A                                      [.] 0x00007fced4d2943c               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.34%             5  0             N/A                                      [.] 0x00007fcee314e1ef               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.34%             5  0             N/A                                      [.] 0x000000000094b04d               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.34%             5  0             N/A                                      [.] 0x000000000094b07c               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.34%             5  0             N/A                                      [.] 0x000000000094b1b9               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.34%             5  0             N/A                                      [.] 0x000000000094b416               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.34%             5  0             N/A                                      [.] 0x000000000094d057               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x00007fcee314432f               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x00007fcee31c9c21               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x000000000094b046               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x000000000094b0b8               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x000000000094b116               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x000000000094b40f               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x000000000094cfb8               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x000000000094cff4               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x000000000094d003               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x000000000094d0f0               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x000000000094d1c6               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x000000000094e887               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.27%             4  0             N/A                                      [.] 0x000000000095001b               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [k] ct_kernel_enter.isra.0           [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x00007fcee31c9770               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x00007fcee31c9789               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x00007fcee31c979e               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x00007fcee31c97c8               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x000000000094b0ad               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x000000000094b2a5               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x000000000094cf98               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x000000000094d152               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x000000000094e647               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x000000000094e87f               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x000000000094f48e               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x0000000000950072               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.20%             3  0             N/A                                      [.] 0x0000000000c672a2               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] helper_simd_tblx                 qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x00007fced221d815               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x00007fcee31c970f               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x00007fcee31c9733               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x00007fcee31c974b               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x00007fcee31c9761               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x00007fcee31c97c0               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000005c498               libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094a6d6               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094a6de               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094a701               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094a790               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094a7a5               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094b069               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094b0ca               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094b0d7               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094b163               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094b298               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094b3e7               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094b3ed               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094cfc6               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094cfda               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094d006               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094d024               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094d04b               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094d079               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094d5c1               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094e95b               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094f47d               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094f4aa               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094f4d9               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             2  0             N/A                                      [.] 0x000000000094f4e7               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [k] __irq_work_queue_local           [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [k] __switch_to                      [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] assert_hflags_rebuild_correctly  qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] cpu_exec_end                     qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] cpu_exec_start                   qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [k] ct_nmi_enter                     [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] curr_cflags                      qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [k] do_sys_poll                      [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [k] fdget                            [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] g_hash_table_lookup              libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] qemu_mutex_lock_impl             qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [k] switch_mm_irqs_off               [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fcece40d0f2               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced2119395               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
