# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6  of event 'cpu_core/mem-loads-aux/'
# Total weight : 6
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     4.95%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq  [kernel.kallsyms]        [k] 0xffff8c3f0f335ff0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq  [kernel.kallsyms]        [k] 0xffffd3a8401abcf0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [.] __vdso_clock_gettime      [vdso]                   [.] 0x00007ffef8c05bd8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [k] __x64_sys_ioctl           [kernel.kallsyms]        [k] 0xffffd3a84d42fea8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [k] _raw_spin_unlock          [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [k] do_idle                   [kernel.kallsyms]        [k] 0xffffd3a8401abee8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [k] enqueue_hrtimer           [kernel.kallsyms]        [k] 0xffff8c3f0f3368b8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [k] fdget                     [kernel.kallsyms]        [k] 0xffffd3a84d42fa08  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [.] g_main_context_query      libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d88  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [.] g_main_context_release    libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05db8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [k] reweight_entity           [kernel.kallsyms]        [k] 0xffffd3a8401abd50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [k] tick_nohz_dep_clear_cpu   [kernel.kallsyms]        [k] 0xffff8c3f0f3264d8  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [.] timerlist_deadline_ns     qemu-system-x86_64       [.] 0x00007ffef8c05d78  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [.] timerlist_deadline_ns     qemu-system-x86_64       [.] 0x00007ffef8c05d98  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [k] update_curr               [kernel.kallsyms]        [k] 0xffffd3a8401abd40  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [.] 0x000000000005a6f3        libglib-2.0.so.0.8400.4  [.] 0x000055eb46682fd8  [heap]             None          L1 or L2 hit            Yes      N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [.] 0x000000000005dffa        libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cf0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.95%             1  5             L1 hit                                   [.] 0x000000000005c664        libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d18  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: Boolean options have negative forms, e.g.: perf report --no-children)
#
